RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,PCT FAIRWAYS HIT,FAIRWAYS HIT,POSSIBLE FAIRWAYS,YEAR
1,1,Jim Furyk,39,74.5,406,545,2020
2,2,Ryan Armour,60,73.86,599,811,2020
3,3,Brian Stuard,83,71.84,814,"1,133",2020
4,4,Brendon Todd,86,71.36,862,"1,208",2020
5,5,Kyle Stanley,57,71.29,529,742,2020
6,6,Tyler Duncan,83,69.87,814,"1,165",2020
7,7,Chez Reavie,77,69.73,751,"1,077",2020
8,8,Henrik Norlander,74,69.57,720,"1,035",2020
9,9,Chris Baker,53,69.49,476,685,2020
10,10,Jim Herman,60,69.28,584,843,2020
11,11,Ryan Moore,48,68.63,420,612,2020
12,12,David Hearn,55,68.44,488,713,2020
T13,T13,Tim Wilkinson,50,68.27,439,643,2020
T13,T13,Doc Redman,82,68.27,783,"1,147",2020
15,15,Josh Teater,43,68.24,391,573,2020
16,16,Vaughn Taylor,61,67.84,576,849,2020
17,18,Scott Brown,64,67.37,603,895,2020
18,17,Webb Simpson,52,67.31,490,728,2020
19,19,Kramer Hickok,51,67.15,460,685,2020
20,20,Corey Conners,74,67.08,695,"1,036",2020
21,21,Austin Cook,64,66.75,560,839,2020
22,22,Chesson Hadley,62,66.71,541,811,2020
23,23,Arjun Atwal,35,66.51,288,433,2020
24,24,Jason Dufner,62,66.44,576,867,2020
25,T25,Emiliano Grillo,69,66.11,599,906,2020
26,27,Kevin Streelman,73,65.88,670,"1,017",2020
27,28,Matt Kuchar,56,65.82,518,787,2020
28,29,Fabián Gómez,59,65.8,506,769,2020
29,31,Andrew Landry,63,65.72,579,881,2020
30,32,Russell Henley,67,65.65,579,882,2020
31,33,Collin Morikawa,80,65.54,734,"1,120",2020
32,34,Michael Thompson,62,65.4,567,867,2020
33,T25,Kevin Kisner,73,65.23,666,"1,021",2020
34,35,Kyoung-Hoon Lee,76,64.98,655,"1,008",2020
35,36,Rickie Fowler,44,64.84,402,620,2020
36,38,D.J. Trahan,49,64.69,425,657,2020
37,39,Lucas Glover,67,64.63,603,933,2020
T38,T40,Joel Dahmen,79,64.58,711,"1,101",2020
T38,T40,Matthew Fitzpatrick,54,64.58,485,751,2020
40,43,Adam Hadwin,65,64.53,584,905,2020
41,44,Troy Merritt,72,64.52,611,947,2020
42,48,Sungjae Im,94,64.48,846,"1,312",2020
43,42,Abraham Ancer,74,64.44,665,"1,032",2020
44,45,Ben Martin,38,64.41,324,503,2020
45,46,Brice Garnett,58,64.36,522,811,2020
46,49,Nick Taylor,59,64.24,530,825,2020
47,50,Matthew NeSmith,72,64.14,610,951,2020
48,37,Daniel Berger,64,63.86,569,891,2020
T49,T52,J.T. Poston,78,63.74,696,"1,092",2020
T49,T52,Martin Laird,39,63.74,348,546,2020
51,54,Doug Ghim,44,63.69,356,559,2020
52,55,Paul Casey,56,63.6,498,783,2020
53,56,Brian Harman,78,63.28,691,"1,092",2020
54,T57,Viktor Hovland,74,63.24,652,"1,031",2020
55,T57,Bo Hoag,71,63.18,592,937,2020
56,47,Jon Rahm,58,63.11,515,816,2020
57,59,Rob Oppenheim,65,62.95,537,853,2020
58,60,Mark Hubbard,86,62.84,756,"1,203",2020
59,51,Billy Horschel,79,62.79,692,"1,102",2020
60,61,Zach Johnson,61,62.76,536,854,2020
61,62,Pat Perez,59,62.75,480,765,2020
62,64,Kevin Na,71,62.74,623,993,2020
63,63,Scott Piercy,66,62.68,576,919,2020
64,65,Zac Blair,70,62.62,578,923,2020
65,66,Wes Roach,42,62.61,350,559,2020
66,67,Rafa Cabrera Bello,53,62.55,461,737,2020
T67,T68,Michael Gellerman,46,62.52,367,587,2020
T67,T68,Chase Seiffert,56,62.52,472,755,2020
69,70,Adam Long,88,62.47,769,"1,231",2020
70,71,Adam Schenk,78,62.27,642,"1,031",2020
71,73,Russell Knox,67,62.2,548,881,2020
72,74,Harry Higgs,83,62.19,722,"1,161",2020
73,75,Nate Lashley,52,62.05,453,730,2020
74,76,Graeme McDowell,48,62.02,418,674,2020
75,77,Jhonattan Vegas,52,62,434,700,2020
76,78,Brandt Snedeker,53,61.94,459,741,2020
77,79,Harris English,76,61.75,657,"1,064",2020
78,72,Tyrrell Hatton,42,61.73,363,588,2020
79,80,Harold Varner III,74,61.69,636,"1,031",2020
80,81,Denny McCarthy,81,61.6,664,"1,078",2020
81,83,James Hahn,36,61.43,309,503,2020
82,84,Tommy Fleetwood,40,61.33,341,556,2020
83,85,Bill Haas,46,61.3,377,615,2020
84,82,Scottie Scheffler,82,61.24,703,"1,148",2020
85,86,Sam Ryder,74,61.22,600,980,2020
86,87,Robby Shelton,75,61.17,608,994,2020
87,88,Shane Lowry,44,60.95,373,612,2020
88,90,Dylan Frittelli,82,60.8,698,"1,148",2020
89,91,Rory Sabbatini,66,60.76,559,920,2020
90,92,Anirban Lahiri,35,60.74,297,489,2020
91,94,"Ted Potter, Jr.",46,60.65,373,615,2020
92,95,Louis Oosthuizen,48,60.63,405,668,2020
93,96,Sergio Garcia,44,60.62,371,612,2020
94,97,Tom Hoge,74,60.58,627,"1,035",2020
95,T103,Sebastián Muñoz,84,60.42,713,"1,180",2020
T96,T99,Hank Lebioda,57,60.34,464,769,2020
T96,T99,Justin Rose,38,60.34,321,532,2020
98,93,Xander Schauffele,70,60.31,591,980,2020
99,101,C.T. Pan,56,60.26,470,780,2020
100,102,Sepp Straka,70,60.2,590,980,2020
101,89,Ryan Palmer,68,60.08,572,952,2020
102,105,Gary Woodland,62,60.02,521,868,2020
103,106,Aaron Wise,49,59.94,377,629,2020
104,107,Brendan Steele,68,59.93,537,896,2020
105,108,Keegan Bradley,68,59.7,566,948,2020
106,109,Kristoffer Ventura,48,59.67,367,615,2020
107,110,Ian Poulter,48,59.58,398,668,2020
108,111,Bronson Burgoon,55,59.57,442,742,2020
109,112,Xinjun Zhang,77,59.52,641,"1,077",2020
T110,T113,Mark Anderson,51,59.51,391,657,2020
T110,T113,Aaron Baddeley,49,59.51,391,657,2020
112,115,Michael Gligic,52,59.46,399,671,2020
113,116,Chris Stroud,48,59.41,382,643,2020
114,117,Patrick Cantlay,46,59.35,384,647,2020
115,118,Bo Van Pelt,45,59.23,356,601,2020
116,119,Cameron Percy,49,59.21,373,630,2020
117,120,Matt Jones,76,59.17,629,"1,063",2020
118,98,Dustin Johnson,49,59.07,407,689,2020
119,121,Bud Cauley,65,59.02,504,854,2020
120,122,Matthew Wolff,74,58.98,611,"1,036",2020
121,123,Max Homa,70,58.94,577,979,2020
122,124,Cameron Davis,62,58.82,477,811,2020
123,125,Brian Gay,67,58.68,517,881,2020
124,126,Seamus Power,36,58.61,262,447,2020
125,128,Vincent Whaley,40,58.38,310,531,2020
126,129,Scott Harrington,68,58.36,555,951,2020
127,130,Talor Gooch,83,58.35,678,"1,162",2020
128,131,Keith Mitchell,64,58.32,522,895,2020
129,132,Roger Sloan,55,58.26,416,714,2020
130,133,Maverick McNealy,80,58.23,619,"1,063",2020
131,T134,Alex Noren,60,58.11,455,783,2020
132,136,Robert Streb,54,58.08,406,699,2020
133,137,Matt Every,47,58.03,365,629,2020
134,138,Richy Werenski,60,57.98,454,783,2020
135,139,Bubba Watson,66,57.93,533,920,2020
136,140,Ben Taylor,44,57.92,340,587,2020
137,141,J.J. Spaun,62,57.83,469,811,2020
138,142,Jason Kokrak,62,57.64,498,864,2020
139,144,Luke List,69,57.45,555,966,2020
T140,T149,Bryson DeChambeau,62,57.37,498,868,2020
T140,145,Will Gordon,36,57.37,257,448,2020
142,146,Joseph Bramlett,57,57.35,425,741,2020
143,148,Scott Stallings,71,57.31,537,937,2020
144,143,Justin Thomas,66,57.25,529,924,2020
145,147,Lanto Griffin,96,57.16,738,"1,291",2020
146,151,Danny Lee,69,57.07,549,962,2020
T147,T152,Andrew Putnam,46,57.03,365,640,2020
T147,T152,Si Woo Kim,78,57.03,588,"1,031",2020
149,T149,Hideki Matsuyama,74,56.98,588,"1,032",2020
150,154,Charley Hoffman,63,56.85,469,825,2020
151,159,Kevin Chappell,41,56.54,324,573,2020
152,157,Joaquin Niemann,76,56.48,601,"1,064",2020
153,160,Stewart Cink,51,56.38,402,713,2020
154,162,Cameron Champ,70,56.36,554,983,2020
155,155,Rory McIlroy,60,56.34,471,836,2020
156,171,Patrick Reed,74,56.08,581,"1,036",2020
157,163,Jason Day,53,55.9,412,737,2020
158,161,Mackenzie Hughes,70,55.77,546,979,2020
159,T164,Branden Grace,43,55.67,319,573,2020
160,166,Sung Kang,73,55.63,568,"1,021",2020
161,167,Adam Scott,38,55.49,293,528,2020
162,168,Nick Watney,46,55.45,341,615,2020
T163,T169,Danny Willett,40,55.36,310,560,2020
T163,T169,Carlos Ortiz,72,55.36,558,"1,008",2020
165,172,Sam Burns,60,54.8,445,812,2020
166,173,Charles Howell III,69,54.57,525,962,2020
167,175,Cameron Smith,64,54.46,488,896,2020
168,174,Peter Malnati,61,54.45,434,797,2020
169,177,Byeong Hun An,75,54.3,568,"1,046",2020
170,178,Tyler McCumber,57,54.25,402,741,2020
171,179,Grayson Murray,36,54.17,273,504,2020
T172,T180,Cameron Tringale,63,54.03,476,881,2020
T172,T180,Patton Kizzire,55,54.03,416,770,2020
174,182,Phil Mickelson,51,54,385,713,2020
175,183,Beau Hossler,71,53.9,505,937,2020
176,184,Brooks Koepka,40,53.75,301,560,2020
177,185,Zack Sucher,38,53.28,268,503,2020
178,186,Matt Wallace,44,53.08,327,616,2020
179,187,Patrick Rodgers,95,52.95,674,"1,273",2020
180,190,Wyndham Clark,65,52.18,443,849,2020
181,191,Jordan Spieth,62,52.14,450,863,2020
182,192,Rhein Gibson,54,51.93,363,699,2020
183,189,Marc Leishman,61,51.88,441,850,2020
184,188,Tony Finau,72,51.79,520,"1,004",2020
185,193,Dominic Bozzelli,38,51.69,260,503,2020
186,194,Sebastian Cappelen,55,51.15,379,741,2020
187,195,Brandon Hagy,50,51.01,328,643,2020
188,196,Nelson Ledesma,42,50.98,285,559,2020
189,197,Kevin Tway,52,49.85,333,668,2020
190,198,Ryan Brehm,52,48.78,341,699,2020
191,199,Martin Trainer,48,48.07,311,647,2020
192,200,Peter Uihlein,47,47.42,285,601,2020
193,201,Jimmy Walker,46,46.81,301,643,2020
1,1,Chez Reavie,99,75.72,973,"1,285",2019
2,2,Ryan Moore,74,75.53,781,"1,034",2019
3,3,Jim Furyk,73,74.45,705,947,2019
4,4,Ryan Armour,92,73.81,947,"1,283",2019
5,5,Henrik Stenson,58,72.13,502,696,2019
6,6,Andrew Landry,80,71.72,743,"1,036",2019
7,7,Brice Garnett,87,71.45,851,"1,191",2019
8,8,Brian Stuard,98,71.09,932,"1,311",2019
9,10,Austin Cook,68,70.26,626,891,2019
10,9,Abraham Ancer,93,70.21,865,"1,232",2019
11,11,Brian Gay,93,70.19,871,"1,241",2019
12,12,Jim Herman,52,70.15,470,670,2019
13,13,David Hearn,55,69.92,458,655,2019
14,15,Tyler Duncan,89,69.63,807,"1,159",2019
15,14,Kevin Kisner,97,69.39,832,"1,199",2019
16,16,Russell Henley,78,69.33,676,975,2019
17,17,Kramer Hickok,79,69.25,743,"1,073",2019
18,18,Michael Thompson,71,69.12,685,991,2019
19,19,Kyle Stanley,81,69.08,735,"1,064",2019
20,20,Vaughn Taylor,93,69.03,876,"1,269",2019
21,21,Scott Langley,78,69.02,713,"1,033",2019
22,22,Brendan Steele,68,68.71,595,866,2019
23,23,Kyle Jones,72,68.62,632,921,2019
24,24,Joel Dahmen,100,68.51,918,"1,340",2019
T25,T26,Brian Harman,91,68.17,848,"1,244",2019
T25,T26,Fabián Gómez,62,68.17,591,867,2019
27,28,Emiliano Grillo,85,68.13,744,"1,092",2019
28,29,Kevin Streelman,83,67.99,769,"1,131",2019
29,30,Ben Silverman,70,67.97,645,949,2019
30,32,Roberto Díaz,73,67.85,614,905,2019
31,33,Jason Dufner,74,67.79,682,"1,006",2019
32,34,Adam Hadwin,86,67.77,776,"1,145",2019
33,25,Paul Casey,79,67.68,710,"1,049",2019
34,T35,Satoshi Kodaira,67,67.63,606,896,2019
35,37,Scott Piercy,90,67.61,816,"1,207",2019
36,38,Roberto Castro,76,67.5,677,"1,003",2019
37,39,Brady Schnell,53,67.46,481,713,2019
38,31,Matt Kuchar,87,67.41,757,"1,123",2019
39,41,Alex Cejka,58,67.19,467,695,2019
40,42,Johnson Wagner,64,67.08,544,811,2019
41,40,Louis Oosthuizen,71,66.93,597,892,2019
T42,44,Rory Sabbatini,97,66.92,868,"1,297",2019
T42,43,Corey Conners,90,66.92,805,"1,203",2019
44,T35,Webb Simpson,81,66.82,731,"1,094",2019
45,46,Zach Johnson,64,66.59,594,892,2019
46,47,Adam Long,76,66.51,707,"1,063",2019
47,48,Bronson Burgoon,59,66.49,512,770,2019
48,49,Francesco Molinari,61,66.45,505,760,2019
49,50,Troy Merritt,69,66.43,570,858,2019
50,51,Keegan Bradley,89,66.35,763,"1,150",2019
51,45,Lucas Glover,94,66.14,830,"1,255",2019
52,52,Matthew Fitzpatrick,54,66.06,471,713,2019
53,53,Kyoung-Hoon Lee,92,66.01,775,"1,174",2019
54,54,Wes Roach,69,65.95,581,881,2019
55,55,Russell Knox,79,65.9,661,"1,003",2019
56,57,Denny McCarthy,89,65.84,744,"1,130",2019
57,58,Hank Lebioda,76,65.64,640,975,2019
58,59,Hunter Mahan,59,65.61,540,823,2019
59,60,Daniel Berger,70,65.48,605,924,2019
60,56,Sungjae Im,122,65.45,"1,078","1,647",2019
61,61,Scott Brown,86,65.41,749,"1,145",2019
62,62,Pat Perez,68,65.28,566,867,2019
63,63,Adam Svensson,73,65.24,610,935,2019
64,64,Nate Lashley,70,65.19,620,951,2019
65,T65,J.J. Henry,58,65.06,473,727,2019
66,T65,Bryson DeChambeau,75,65.02,658,"1,012",2019
67,67,C.T. Pan,84,64.77,741,"1,144",2019
68,68,Billy Horschel,99,64.71,836,"1,292",2019
69,69,Rafa Cabrera Bello,71,64.52,611,947,2019
70,71,Jonas Blixt,82,64.31,681,"1,059",2019
71,72,Alex Prugh,77,64.08,635,991,2019
72,73,Kevin Na,65,64.05,538,840,2019
73,70,Tommy Fleetwood,71,64.02,573,895,2019
74,74,Sepp Straka,78,63.91,641,"1,003",2019
75,76,Sam Ryder,76,63.62,640,"1,006",2019
76,77,Ian Poulter,65,63.6,519,816,2019
77,78,J.J. Spaun,90,63.56,729,"1,147",2019
78,79,Josh Teater,73,63.5,595,937,2019
79,75,Gary Woodland,87,63.41,747,"1,178",2019
80,82,Bud Cauley,82,63.26,725,"1,146",2019
T81,83,Kiradech Aphibarnrat,65,63.25,549,868,2019
T81,80,Brandt Snedeker,102,63.25,876,"1,385",2019
83,84,"Ted Potter, Jr.",73,63.22,629,995,2019
84,85,Martin Laird,88,63.09,706,"1,119",2019
85,87,Tyrrell Hatton,62,62.96,510,810,2019
86,88,Si Woo Kim,87,62.95,722,"1,147",2019
87,89,J.T. Poston,100,62.89,844,"1,342",2019
88,90,Charles Howell III,94,62.83,803,"1,278",2019
89,91,Rod Pampling,56,62.76,455,725,2019
90,86,Jason Kokrak,94,62.74,788,"1,256",2019
91,92,Dylan Frittelli,83,62.71,708,"1,129",2019
92,93,Graeme McDowell,75,62.69,620,989,2019
93,94,Chase Wright,75,62.62,603,963,2019
94,95,Joey Garber,63,62.52,497,795,2019
T95,81,Jon Rahm,75,62.5,595,952,2019
T95,T96,Ryan Blaum,90,62.5,715,"1,144",2019
97,98,Alex Noren,63,62.38,524,840,2019
98,100,Carlos Ortiz,84,62.3,714,"1,146",2019
99,101,Matt Jones,88,62.17,728,"1,171",2019
100,103,Whee Kim,73,62.07,599,965,2019
101,104,Shawn Stefani,80,61.89,656,"1,060",2019
T102,105,Roger Sloan,88,61.83,724,"1,171",2019
T102,T96,Brooks Koepka,81,61.83,643,"1,040",2019
104,111,Rory McIlroy,72,61.82,591,956,2019
105,106,Tom Hoge,98,61.81,777,"1,257",2019
106,107,Jason Day,69,61.76,554,897,2019
107,108,Aaron Wise,72,61.75,599,970,2019
108,109,Joaquin Niemann,98,61.72,827,"1,340",2019
109,110,Nick Taylor,97,61.68,800,"1,297",2019
110,112,Kelly Kraft,87,61.65,696,"1,129",2019
111,113,Harris English,97,61.57,782,"1,270",2019
112,114,Sangmoon Bae,60,61.49,463,753,2019
113,116,Bill Haas,77,61.33,590,962,2019
114,99,Hideki Matsuyama,91,61.28,755,"1,232",2019
115,118,Adam Schenk,102,61.27,856,"1,397",2019
116,119,Richy Werenski,89,61.26,710,"1,159",2019
117,120,Robert Streb,80,60.93,613,"1,006",2019
118,124,Sung Kang,86,60.72,711,"1,171",2019
119,125,Patton Kizzire,76,60.71,629,"1,036",2019
120,126,Ryan Palmer,74,60.67,560,923,2019
121,127,Andrew Putnam,81,60.64,647,"1,067",2019
T122,117,Rickie Fowler,76,60.62,645,"1,064",2019
T122,128,Freddie Jacobson,53,60.62,431,711,2019
124,129,Cameron Tringale,73,60.53,549,907,2019
125,130,Keith Mitchell,86,60.38,701,"1,161",2019
126,132,José de Jesús Rodríguez,67,60.31,547,907,2019
127,121,Xander Schauffele,77,60.29,627,"1,040",2019
128,134,Dominic Bozzelli,73,60.19,564,937,2019
129,131,Justin Rose,66,60.14,522,868,2019
130,135,Anders Albertson,68,60.11,538,895,2019
131,122,Patrick Reed,93,60.1,741,"1,233",2019
132,136,Anirban Lahiri,73,60.08,578,962,2019
133,133,Justin Thomas,75,59.98,607,"1,012",2019
134,137,Harold Varner III,84,59.97,686,"1,144",2019
135,123,Adam Scott,63,59.91,511,853,2019
136,139,Sebastián Muñoz,86,59.8,668,"1,117",2019
137,140,Chesson Hadley,76,59.75,616,"1,031",2019
138,141,Danny Willett,63,59.57,523,878,2019
139,142,Stephan Jaeger,77,59.54,590,991,2019
140,138,Marc Leishman,76,59.39,601,"1,012",2019
141,143,Cameron Smith,79,59.36,615,"1,036",2019
142,144,Nick Watney,87,59.29,686,"1,157",2019
143,145,Ernie Els,51,59.27,406,685,2019
144,146,Beau Hossler,87,59.19,686,"1,159",2019
145,147,Scott Stallings,82,58.97,641,"1,087",2019
146,148,Jhonattan Vegas,75,58.93,594,"1,008",2019
147,149,Sergio Garcia,53,58.82,360,612,2019
148,150,Talor Gooch,54,58.68,443,755,2019
149,151,Chris Stroud,70,58.29,503,863,2019
150,152,Charley Hoffman,74,58.26,568,975,2019
151,153,Jonathan Byrd,55,58.25,399,685,2019
152,155,John Chin,58,58.15,439,755,2019
153,156,Bubba Watson,65,58.13,472,812,2019
154,157,Cameron Davis,76,58.01,583,"1,005",2019
T155,T158,Byeong Hun An,80,57.98,625,"1,078",2019
T155,T158,Mackenzie Hughes,80,57.98,614,"1,059",2019
157,161,Aaron Baddeley,55,57.74,444,769,2019
158,162,Hudson Swafford,59,57.66,459,796,2019
159,163,Max Homa,82,57.48,642,"1,117",2019
160,154,Patrick Cantlay,77,57.34,578,"1,008",2019
161,164,Patrick Rodgers,55,57.24,407,711,2019
T162,T165,Branden Grace,76,57.22,543,949,2019
T162,T165,Seth Reeves,73,57.22,535,935,2019
164,167,Sam Burns,80,57.17,622,"1,088",2019
165,168,Danny Lee,83,57.08,645,"1,130",2019
166,169,Brandon Harkins,91,56.96,659,"1,157",2019
167,170,Tony Finau,89,56.94,669,"1,175",2019
168,171,Sam Saunders,78,56.55,583,"1,031",2019
169,172,J.B. Holmes,78,56.5,561,993,2019
170,173,Wyndham Clark,87,56.37,668,"1,185",2019
171,174,Seamus Power,80,56.26,566,"1,006",2019
172,175,Curtis Luck,65,55.91,459,821,2019
173,177,Jimmy Walker,74,55.65,576,"1,035",2019
174,176,Dustin Johnson,73,55.57,544,979,2019
175,178,Cameron Champ,78,55.3,590,"1,067",2019
176,179,Kevin Tway,84,55.26,620,"1,122",2019
177,180,Jim Knous,57,55.21,408,739,2019
178,181,Julián Etulain,70,54.81,496,905,2019
179,183,Peter Malnati,87,54.62,632,"1,157",2019
180,184,Cody Gribble,74,53.64,494,921,2019
181,185,Jordan Spieth,82,53.12,587,"1,105",2019
182,186,Luke List,66,53.06,468,882,2019
183,187,Michael Kim,61,52.96,438,827,2019
184,188,Trey Mullinax,77,51.03,519,"1,017",2019
185,189,Phil Mickelson,63,50.77,426,839,2019
186,190,Martin Trainer,63,50.76,432,851,2019
187,191,Peter Uihlein,84,50.55,550,"1,088",2019
188,192,Ollie Schniederjans,77,48.47,508,"1,048",2019
1,1,Henrik Stenson,60,75.19,591,786,2018
2,2,Ryan Armour,109,73.58,"1,103","1,499",2018
3,3,Chez Reavie,93,72.24,869,"1,203",2018
4,5,Ryan Moore,78,71.94,787,"1,094",2018
5,6,Brian Stuard,103,71.44,968,"1,355",2018
6,7,Brian Gay,103,71.37,"1,007","1,411",2018
7,4,Kyle Stanley,93,71.29,884,"1,240",2018
8,8,Emiliano Grillo,94,70.16,905,"1,290",2018
9,9,Russell Henley,77,70.03,729,"1,041",2018
10,10,Jim Furyk,50,69.91,467,668,2018
11,11,Steve Wheatcroft,60,69.79,566,811,2018
12,12,Kevin Streelman,94,69.11,888,"1,285",2018
13,13,C.T. Pan,104,68.98,945,"1,370",2018
14,14,David Lingmerth,82,68.93,750,"1,088",2018
15,15,Keegan Bradley,98,67.9,884,"1,302",2018
16,16,Rafa Cabrera Bello,75,67.85,667,983,2018
17,T17,Billy Horschel,86,67.8,779,"1,149",2018
18,T17,Russell Knox,94,67.7,851,"1,257",2018
19,19,Ben Crane,65,67.52,557,825,2018
20,20,Vaughn Taylor,83,67.51,746,"1,105",2018
21,21,Brian Harman,94,67.14,850,"1,266",2018
22,22,Sam Ryder,82,66.91,746,"1,115",2018
23,23,"Ted Potter, Jr.",87,66.83,812,"1,215",2018
24,24,Austin Cook,107,66.76,"1,002","1,501",2018
25,25,Tyler Duncan,97,66.74,867,"1,299",2018
26,26,David Hearn,66,66.63,559,839,2018
27,28,Alex Cejka,77,66.49,639,961,2018
28,29,Ian Poulter,73,66.41,595,896,2018
29,30,Joel Dahmen,93,66.36,789,"1,189",2018
30,31,Kevin Kisner,89,66.33,729,"1,099",2018
31,32,J.J. Henry,81,66.22,692,"1,045",2018
32,33,J.J. Spaun,85,66.18,732,"1,106",2018
33,27,Justin Rose,70,66.02,610,924,2018
34,34,Kelly Kraft,94,65.84,846,"1,285",2018
35,35,Conrad Shindler,60,65.77,515,783,2018
36,36,Scott Piercy,84,65.68,735,"1,119",2018
37,T37,Adam Hadwin,92,65.6,820,"1,250",2018
38,39,Ben Silverman,90,65.56,769,"1,173",2018
39,40,Satoshi Kodaira,51,65.53,443,676,2018
T40,41,Rickie Fowler,74,65.33,682,"1,044",2018
T40,42,Xinjun Zhang,81,65.33,684,"1,047",2018
42,44,Kiradech Aphibarnrat,51,65.12,422,648,2018
43,45,Pat Perez,82,65.09,688,"1,057",2018
T44,T46,Lucas Glover,65,65.06,553,850,2018
T44,T46,Richy Werenski,98,65.06,836,"1,285",2018
T46,48,Hunter Mahan,67,65.04,573,881,2018
T46,43,Francesco Molinari,73,65.04,640,984,2018
48,49,Fabián Gómez,88,64.99,761,"1,171",2018
49,T37,Tommy Fleetwood,73,64.98,603,928,2018
50,50,Graeme McDowell,67,64.92,533,821,2018
51,51,Louis Oosthuizen,62,64.81,490,756,2018
52,53,Chad Campbell,87,64.7,713,"1,102",2018
53,54,Blayne Barber,69,64.67,604,934,2018
54,55,Michael Thompson,62,64.66,525,812,2018
55,56,Chris Kirk,108,64.64,956,"1,479",2018
56,57,Daniel Berger,81,64.58,691,"1,070",2018
57,58,Hudson Swafford,73,64.57,607,940,2018
58,59,Bronson Burgoon,69,64.53,624,967,2018
59,60,Brice Garnett,99,64.45,854,"1,325",2018
60,61,Ryan Blaum,81,64.31,699,"1,087",2018
61,62,Johnson Wagner,75,64.25,620,965,2018
62,52,Kevin Na,91,64.13,774,"1,207",2018
63,63,Zach Johnson,94,63.88,778,"1,218",2018
64,64,John Huh,94,63.83,803,"1,258",2018
65,65,James Hahn,85,63.73,731,"1,147",2018
T66,T71,Gary Woodland,96,63.69,812,"1,275",2018
T66,66,Rod Pampling,62,63.69,514,807,2018
68,67,Cameron Percy,56,63.66,445,699,2018
69,68,Abraham Ancer,98,63.64,854,"1,342",2018
70,70,Ben Martin,64,63.52,566,891,2018
71,T71,Branden Grace,67,63.49,567,893,2018
72,73,Denny McCarthy,71,63.45,559,881,2018
73,69,Aaron Wise,90,63.33,777,"1,227",2018
74,75,Jason Dufner,71,63.3,571,902,2018
75,76,Matt Kuchar,88,63.27,708,"1,119",2018
76,77,Martin Laird,73,63.22,574,908,2018
77,78,Roberto Díaz,72,63.2,601,951,2018
78,74,Paul Casey,74,63.14,627,993,2018
T79,T79,Kyle Thompson,50,62.99,405,643,2018
T79,T79,Corey Conners,97,62.99,817,"1,297",2018
81,81,Troy Merritt,89,62.93,747,"1,187",2018
82,82,Andrew Landry,82,62.92,706,"1,122",2018
83,85,Hideki Matsuyama,75,62.82,637,"1,014",2018
84,83,Brandt Snedeker,84,62.79,719,"1,145",2018
85,84,Zac Blair,64,62.76,509,811,2018
86,88,Danny Lee,88,62.65,753,"1,202",2018
87,89,Charles Howell III,104,62.59,875,"1,398",2018
88,90,Adam Scott,78,62.51,682,"1,091",2018
89,91,Tom Hoge,101,62.43,811,"1,299",2018
90,87,Webb Simpson,95,62.34,803,"1,288",2018
91,92,Chris Stroud,81,62.24,638,"1,025",2018
92,86,Bryson DeChambeau,93,62.23,814,"1,308",2018
93,T93,Jonathan Randolph,71,62.18,564,907,2018
94,95,Rory Sabbatini,91,62.05,770,"1,241",2018
95,96,Scott Brown,102,62.03,848,"1,367",2018
96,97,Tyrrell Hatton,58,61.84,470,760,2018
97,98,Alex Noren,67,61.73,521,844,2018
98,T93,Patrick Cantlay,87,61.58,694,"1,127",2018
99,99,Jordan Spieth,81,61.55,658,"1,069",2018
100,100,J.T. Poston,73,61.53,611,993,2018
101,101,Kevin Chappell,77,61.27,639,"1,043",2018
102,102,Shane Lowry,64,61.2,478,781,2018
103,103,Patrick Rodgers,97,61.14,793,"1,297",2018
104,104,Whee Kim,93,61.11,759,"1,242",2018
105,105,Nick Taylor,94,60.94,766,"1,257",2018
106,106,Bud Cauley,55,60.81,450,740,2018
107,107,Si Woo Kim,108,60.68,886,"1,460",2018
108,108,Nate Lashley,51,60.58,398,657,2018
T109,T109,Brendan Steele,74,60.47,572,946,2018
T109,T109,D.A. Points,63,60.47,517,855,2018
T109,T109,Beau Hossler,104,60.47,881,"1,457",2018
112,113,Nicholas Lindheim,77,60.44,582,963,2018
113,114,Andrew Putnam,97,60.42,751,"1,243",2018
114,116,Jonas Blixt,67,60.3,518,859,2018
115,117,Ethan Tracy,72,60.25,573,951,2018
116,118,Byeong Hun An,86,60.19,709,"1,178",2018
117,115,Marc Leishman,93,60.17,763,"1,268",2018
118,119,Sam Saunders,80,60.14,620,"1,031",2018
T119,T120,Anirban Lahiri,82,60.09,691,"1,150",2018
T119,T120,Sean O'Hair,67,60.09,527,877,2018
121,122,Chesson Hadley,103,60.07,832,"1,385",2018
122,123,Mackenzie Hughes,80,60.04,637,"1,061",2018
123,124,William McGirt,84,59.89,651,"1,087",2018
124,112,Xander Schauffele,96,59.77,783,"1,310",2018
125,125,Dustin Johnson,77,59.46,619,"1,041",2018
126,126,Matt Jones,70,59.38,516,869,2018
127,132,Tiger Woods,68,59.35,565,952,2018
128,129,Billy Hurley III,70,59.24,529,893,2018
129,128,Jon Rahm,71,59.2,550,929,2018
130,131,Ryan Palmer,69,59.11,519,878,2018
131,133,Harold Varner III,91,59.02,733,"1,242",2018
132,134,Harris English,84,58.99,643,"1,090",2018
133,135,Greg Chalmers,56,58.9,427,725,2018
