RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,PCT GREENS IN REGULATION,GREENS HIT,# HOLES,RELATIVE/PAR,YEAR
112,115,Rickie Fowler,44,66.54,527,792,-0.32,2020
113,116,Troy Merritt,72,66.5,814,"1,224",-0.28,2020
114,T117,Arjun Atwal,35,66.49,371,558,-0.24,2020
115,119,Keegan Bradley,68,66.42,813,"1,224",-0.25,2020
116,120,Sam Ryder,74,66.35,836,"1,260",-0.28,2020
117,124,Sebastián Muñoz,84,66.34,"1,003","1,512",-0.3,2020
118,121,Tyler McCumber,57,66.25,632,954,-0.26,2020
119,122,Matt Jones,76,66.23,906,"1,368",-0.28,2020
120,123,Kramer Hickok,51,66.21,584,882,-0.22,2020
121,97,Billy Horschel,79,66.17,941,"1,422",-0.3,2020
122,125,Harry Higgs,83,66.06,987,"1,494",-0.28,2020
123,126,Matthew Fitzpatrick,54,66.05,642,972,-0.3,2020
124,127,Xinjun Zhang,77,66.02,915,"1,386",-0.29,2020
125,128,J.J. Spaun,62,66,689,"1,044",-0.28,2020
T126,129,Brandt Snedeker,53,65.93,629,954,-0.27,2020
T126,T117,Ryan Palmer,68,65.93,807,"1,224",-0.3,2020
128,130,Maverick McNealy,80,65.86,901,"1,368",-0.3,2020
129,132,Dylan Frittelli,82,65.79,971,"1,476",-0.26,2020
130,133,Byeong Hun An,75,65.78,888,"1,350",-0.28,2020
131,136,Brian Harman,78,65.67,922,"1,404",-0.31,2020
T132,T137,Danny Lee,69,65.62,815,"1,242",-0.29,2020
T132,T137,Tom Hoge,74,65.62,874,"1,332",-0.27,2020
134,139,Roger Sloan,55,65.58,602,918,-0.26,2020
135,140,Bud Cauley,65,65.57,720,"1,098",-0.27,2020
136,141,Si Woo Kim,78,65.54,873,"1,332",-0.29,2020
137,131,Lanto Griffin,96,65.52,"1,085","1,656",-0.29,2020
138,134,Brendon Todd,86,65.5,"1,014","1,548",-0.29,2020
139,135,Kevin Kisner,73,65.37,859,"1,314",-0.29,2020
140,150,Patrick Reed,74,65.32,870,"1,332",-0.34,2020
141,142,Sung Kang,73,65.3,858,"1,314",-0.26,2020
142,143,Louis Oosthuizen,48,65.28,564,864,-0.28,2020
143,144,Rory Sabbatini,66,65.24,775,"1,188",-0.26,2020
144,145,Rhein Gibson,54,65.22,587,900,-0.28,2020
145,146,Rob Oppenheim,65,65.21,716,"1,098",-0.24,2020
146,147,Kyoung-Hoon Lee,76,65.2,845,"1,296",-0.27,2020
147,148,Kevin Chappell,41,65.18,481,738,-0.29,2020
148,149,Beau Hossler,71,65.17,786,"1,206",-0.29,2020
149,151,Bo Van Pelt,45,65.12,504,774,-0.22,2020
150,152,Brian Stuard,83,65.09,949,"1,458",-0.28,2020
151,153,Matt Every,47,65.06,527,810,-0.28,2020
152,154,Keith Mitchell,64,65.02,749,"1,152",-0.28,2020
153,155,Matt Kuchar,56,64.98,655,"1,008",-0.31,2020
154,156,Michael Thompson,62,64.96,725,"1,116",-0.27,2020
155,157,Aaron Baddeley,49,64.89,549,846,-0.31,2020
T156,T158,Nate Lashley,52,64.85,607,936,-0.26,2020
T156,T158,Patton Kizzire,55,64.85,642,990,-0.3,2020
158,160,Brian Gay,67,64.81,735,"1,134",-0.3,2020
T159,T161,Jason Day,53,64.78,618,954,-0.3,2020
T159,T161,Alex Noren,60,64.78,653,"1,008",-0.3,2020
161,163,J.T. Poston,78,64.74,909,"1,404",-0.31,2020
162,164,Scott Piercy,66,64.73,769,"1,188",-0.28,2020
163,165,Chris Stroud,48,64.61,535,828,-0.29,2020
164,166,Max Homa,70,64.6,814,"1,260",-0.29,2020
165,167,Scott Brown,64,64.5,743,"1,152",-0.25,2020
166,168,Scott Harrington,68,64.46,789,"1,224",-0.27,2020
167,169,Sebastian Cappelen,55,64.36,614,954,-0.27,2020
168,170,Jim Herman,60,64.17,693,"1,080",-0.22,2020
169,171,Andrew Landry,63,64.11,727,"1,134",-0.26,2020
170,T174,Cameron Smith,64,64.06,738,"1,152",-0.31,2020
171,176,Grayson Murray,36,63.89,414,648,-0.3,2020
172,177,Joel Dahmen,79,63.85,908,"1,422",-0.29,2020
173,178,Rafa Cabrera Bello,53,63.84,609,954,-0.28,2020
174,180,Andrew Putnam,46,63.77,528,828,-0.25,2020
175,181,Vaughn Taylor,61,63.75,700,"1,098",-0.31,2020
176,183,Matt Wallace,44,63.64,504,792,-0.28,2020
177,184,Phil Mickelson,51,63.51,583,918,-0.31,2020
178,185,Zac Blair,70,63.47,754,"1,188",-0.26,2020
179,179,Mackenzie Hughes,70,63.41,799,"1,260",-0.3,2020
180,186,Graeme McDowell,48,63.31,547,864,-0.26,2020
181,182,Kevin Na,71,63.22,808,"1,278",-0.3,2020
182,187,Justin Rose,38,63.16,432,684,-0.33,2020
183,188,Dominic Bozzelli,38,62.96,408,648,-0.33,2020
184,189,Nelson Ledesma,42,62.64,451,720,-0.28,2020
T185,T190,Kevin Tway,52,62.62,541,864,-0.26,2020
T185,T190,Ian Poulter,48,62.62,541,864,-0.32,2020
T187,T192,Peter Malnati,61,62.57,642,"1,026",-0.3,2020
T187,T192,Wyndham Clark,65,62.57,687,"1,098",-0.31,2020
189,T194,Danny Willett,40,62.5,450,720,-0.27,2020
190,196,Jordan Spieth,62,62.37,696,"1,116",-0.32,2020
191,197,Jimmy Walker,46,62.2,515,828,-0.27,2020
192,198,Marc Leishman,61,61.48,675,"1,098",-0.27,2020
193,201,Martin Trainer,48,52.05,431,828,-0.25,2020
1,1,Corey Conners,90,73.06,"1,131","1,548",-0.25,2019
2,2,Johnson Wagner,64,71.55,747,"1,044",-0.29,2019
3,3,Alex Prugh,77,71.44,913,"1,278",-0.25,2019
4,6,Paul Casey,79,70.96,958,"1,350",-0.3,2019
5,7,Jason Dufner,74,70.76,917,"1,296",-0.24,2019
6,5,Justin Thomas,75,70.68,916,"1,296",-0.34,2019
7,4,Charles Howell III,94,70.51,"1,155","1,638",-0.29,2019
8,8,Josh Teater,73,70.48,850,"1,206",-0.27,2019
9,10,Scott Piercy,90,70.09,"1,085","1,548",-0.29,2019
10,12,Brendan Steele,68,69.98,781,"1,116",-0.24,2019
11,11,Brooks Koepka,81,69.97,932,"1,332",-0.32,2019
T12,T13,Shawn Stefani,80,69.96,957,"1,368",-0.27,2019
T12,T13,Talor Gooch,54,69.96,680,972,-0.29,2019
14,15,Martin Laird,88,69.86,"1,006","1,440",-0.27,2019
15,16,Kevin Streelman,83,69.75,"1,017","1,458",-0.26,2019
16,18,Jason Day,69,69.7,803,"1,152",-0.3,2019
17,19,Cameron Tringale,73,69.66,815,"1,170",-0.29,2019
18,20,Brice Garnett,87,69.54,"1,064","1,530",-0.28,2019
19,21,Adam Svensson,73,69.4,837,"1,206",-0.26,2019
T20,17,Hideki Matsuyama,91,69.38,"1,099","1,584",-0.3,2019
T20,9,Matt Kuchar,87,69.38,999,"1,440",-0.3,2019
22,22,Cameron Champ,78,69.3,948,"1,368",-0.29,2019
23,23,Jhonattan Vegas,75,69.29,898,"1,296",-0.3,2019
24,24,Jim Furyk,73,69.28,848,"1,224",-0.24,2019
25,26,Hank Lebioda,76,69.21,872,"1,260",-0.27,2019
T26,T28,Sepp Straka,78,69.06,895,"1,296",-0.3,2019
T26,T28,Russell Knox,79,69.06,895,"1,296",-0.25,2019
28,25,Gary Woodland,87,69.05,"1,044","1,512",-0.33,2019
29,27,Jon Rahm,75,69.04,845,"1,224",-0.33,2019
30,43,Adam Scott,63,68.94,757,"1,098",-0.31,2019
31,31,Troy Merritt,69,68.85,756,"1,098",-0.32,2019
32,T37,Jason Kokrak,94,68.77,"1,114","1,620",-0.3,2019
33,32,Cameron Davis,76,68.75,891,"1,296",-0.29,2019
34,33,Emiliano Grillo,85,68.73,965,"1,404",-0.27,2019
35,34,John Chin,58,68.72,668,972,-0.24,2019
T36,T35,Nick Watney,87,68.61,"1,025","1,494",-0.29,2019
T36,T35,Adam Schenk,102,68.61,"1,235","1,800",-0.3,2019
38,T37,Aaron Wise,72,68.6,852,"1,242",-0.33,2019
39,40,Rory McIlroy,72,68.55,839,"1,224",-0.37,2019
40,39,Keegan Bradley,89,68.5,"1,011","1,476",-0.26,2019
41,41,Tyler Duncan,89,68.47,"1,023","1,494",-0.25,2019
42,42,Roberto Castro,76,68.44,887,"1,296",-0.26,2019
43,48,Xander Schauffele,77,68.39,911,"1,332",-0.32,2019
44,44,J.J. Spaun,90,68.36,"1,009","1,476",-0.27,2019
45,45,Ryan Palmer,74,68.35,812,"1,188",-0.3,2019
46,46,Hunter Mahan,59,68.27,725,"1,062",-0.28,2019
47,47,Sebastián Muñoz,86,68.26,983,"1,440",-0.3,2019
48,49,Dylan Frittelli,83,68.24,995,"1,458",-0.26,2019
49,51,Ryan Moore,74,68.17,908,"1,332",-0.3,2019
50,30,Lucas Glover,94,68.15,"1,104","1,620",-0.29,2019
T51,T52,Fabián Gómez,62,68.1,760,"1,116",-0.26,2019
T51,T52,Russell Henley,78,68.1,858,"1,260",-0.25,2019
53,54,Joaquin Niemann,98,68.06,"1,176","1,728",-0.28,2019
T54,T56,Sam Ryder,76,67.98,881,"1,296",-0.3,2019
T54,T56,Bronson Burgoon,59,67.98,673,990,-0.27,2019
56,58,Chase Wright,75,67.95,844,"1,242",-0.29,2019
57,59,Chez Reavie,99,67.93,"1,125","1,656",-0.3,2019
58,60,Carlos Ortiz,84,67.82,"1,001","1,476",-0.27,2019
59,50,Rickie Fowler,76,67.76,927,"1,368",-0.32,2019
60,62,Byeong Hun An,80,67.75,939,"1,386",-0.29,2019
T61,T63,Jim Knous,57,67.71,646,954,-0.25,2019
T61,T63,Anders Albertson,68,67.71,780,"1,152",-0.24,2019
63,65,Brandon Harkins,91,67.67,"1,011","1,494",-0.29,2019
64,66,Kyoung-Hoon Lee,92,67.66,"1,023","1,512",-0.26,2019
65,68,Wes Roach,69,67.64,767,"1,134",-0.28,2019
66,69,Billy Horschel,99,67.63,"1,120","1,656",-0.28,2019
67,55,Sungjae Im,122,67.61,"1,436","2,124",-0.31,2019
68,T70,Ryan Armour,92,67.57,"1,119","1,656",-0.26,2019
69,72,Adam Hadwin,86,67.55,997,"1,476",-0.3,2019
70,73,Trey Mullinax,77,67.5,887,"1,314",-0.28,2019
71,74,David Hearn,55,67.49,571,846,-0.27,2019
72,T75,Nate Lashley,70,67.48,826,"1,224",-0.3,2019
73,77,Kyle Stanley,81,67.47,923,"1,368",-0.26,2019
74,T70,Tony Finau,89,67.46,"1,020","1,512",-0.3,2019
75,T79,Keith Mitchell,86,67.34,"1,006","1,494",-0.3,2019
76,81,Nick Taylor,97,67.26,"1,126","1,674",-0.29,2019
T77,T75,Marc Leishman,76,67.21,871,"1,296",-0.3,2019
T77,67,Patrick Cantlay,77,67.21,871,"1,296",-0.34,2019
T77,T82,Bud Cauley,82,67.21,992,"1,476",-0.31,2019
T77,T82,Harold Varner III,84,67.21,992,"1,476",-0.28,2019
81,85,Andrew Landry,80,67.12,894,"1,332",-0.27,2019
82,86,Kramer Hickok,79,67.1,930,"1,386",-0.26,2019
83,87,Kevin Tway,84,67.01,965,"1,440",-0.27,2019
84,88,Beau Hossler,87,67,"1,001","1,494",-0.3,2019
85,T79,Kevin Kisner,97,66.99,"1,037","1,548",-0.28,2019
86,61,Dustin Johnson,73,66.98,844,"1,260",-0.32,2019
87,89,Tommy Fleetwood,71,66.93,771,"1,152",-0.27,2019
88,90,Dominic Bozzelli,73,66.92,807,"1,206",-0.33,2019
89,91,Rory Sabbatini,97,66.91,"1,120","1,674",-0.3,2019
90,92,Ian Poulter,65,66.86,698,"1,044",-0.3,2019
T91,T93,Vaughn Taylor,93,66.85,"1,095","1,638",-0.32,2019
T91,T93,Harris English,97,66.85,"1,095","1,638",-0.28,2019
T93,78,Louis Oosthuizen,71,66.84,770,"1,152",-0.29,2019
T93,95,J.T. Poston,100,66.84,"1,155","1,728",-0.29,2019
95,96,Seth Reeves,73,66.83,806,"1,206",-0.27,2019
96,84,Abraham Ancer,93,66.79,"1,058","1,584",-0.29,2019
T97,T97,Bubba Watson,65,66.76,697,"1,044",-0.27,2019
T97,T97,Hudson Swafford,59,66.76,685,"1,026",-0.3,2019
T99,T99,Danny Lee,83,66.74,973,"1,458",-0.28,2019
T99,T99,Scott Stallings,82,66.74,937,"1,404",-0.28,2019
101,101,Joel Dahmen,100,66.72,"1,153","1,728",-0.29,2019
102,T102,J.J. Henry,58,66.67,624,936,-0.17,2019
103,T104,Matt Jones,88,66.6,"1,007","1,512",-0.29,2019
104,106,Roberto Díaz,73,66.58,779,"1,170",-0.28,2019
105,107,Scott Brown,86,66.53,982,"1,476",-0.27,2019
106,108,Charley Hoffman,74,66.51,838,"1,260",-0.27,2019
107,109,Ben Silverman,70,66.5,814,"1,224",-0.25,2019
108,110,Joey Garber,63,66.37,681,"1,026",-0.25,2019
109,111,"Ted Potter, Jr.",73,66.35,848,"1,278",-0.27,2019
110,113,Tyrrell Hatton,62,66.28,692,"1,044",-0.28,2019
111,114,Danny Willett,63,66.23,751,"1,134",-0.26,2019
112,T104,Patrick Reed,93,66.22,"1,049","1,584",-0.31,2019
T113,115,Jim Herman,52,66.2,572,864,-0.27,2019
T113,128,Bryson DeChambeau,75,66.2,858,"1,296",-0.32,2019
115,116,Whee Kim,73,66.18,822,"1,242",-0.25,2019
116,117,Sung Kang,86,66.14,"1,000","1,512",-0.27,2019
117,118,Robert Streb,80,66.13,857,"1,296",-0.26,2019
118,119,Henrik Stenson,58,66.11,595,900,-0.26,2019
119,120,Branden Grace,76,66.09,809,"1,224",-0.25,2019
120,121,Peter Uihlein,84,66.03,927,"1,404",-0.29,2019
121,122,Kyle Jones,72,65.99,784,"1,188",-0.23,2019
122,123,Denny McCarthy,89,65.98,962,"1,458",-0.33,2019
123,124,Stephan Jaeger,77,65.96,843,"1,278",-0.27,2019
124,125,Wyndham Clark,87,65.95,"1,009","1,530",-0.34,2019
125,126,Andrew Putnam,81,65.94,902,"1,368",-0.32,2019
126,127,Richy Werenski,89,65.93,985,"1,494",-0.28,2019
127,112,Webb Simpson,81,65.81,924,"1,404",-0.32,2019
128,129,Tom Hoge,98,65.8,"1,066","1,620",-0.26,2019
129,130,Michael Thompson,71,65.73,840,"1,278",-0.29,2019
130,131,Austin Cook,68,65.71,757,"1,152",-0.3,2019
131,132,J.B. Holmes,78,65.57,838,"1,278",-0.27,2019
132,135,Luke List,66,65.43,742,"1,134",-0.28,2019
133,136,Pat Perez,68,65.32,729,"1,116",-0.28,2019
T134,T137,Alex Noren,63,65.28,705,"1,080",-0.26,2019
T134,T137,Mackenzie Hughes,80,65.28,893,"1,368",-0.28,2019
T134,T137,Adam Long,76,65.28,893,"1,368",-0.24,2019
137,140,Jonathan Byrd,55,65.19,575,882,-0.27,2019
138,141,Daniel Berger,70,65.15,774,"1,188",-0.28,2019
139,142,Max Homa,82,65.14,938,"1,440",-0.28,2019
140,143,Jonas Blixt,82,65.13,891,"1,368",-0.29,2019
141,144,Roger Sloan,88,65.08,984,"1,512",-0.3,2019
142,145,Ryan Blaum,90,64.97,959,"1,476",-0.28,2019
143,T151,Brandt Snedeker,102,64.93,"1,157","1,782",-0.29,2019
144,146,Si Woo Kim,87,64.91,958,"1,476",-0.32,2019
145,147,Brian Stuard,98,64.89,"1,098","1,692",-0.27,2019
T146,T148,Sam Saunders,78,64.79,863,"1,332",-0.28,2019
T146,T148,Graeme McDowell,75,64.79,828,"1,278",-0.28,2019
148,150,Justin Rose,66,64.78,723,"1,116",-0.34,2019
149,T151,Sam Burns,80,64.74,909,"1,404",-0.31,2019
T150,T153,Jimmy Walker,74,64.71,862,"1,332",-0.23,2019
T150,T153,Sangmoon Bae,60,64.71,629,972,-0.26,2019
T150,T153,Patrick Rodgers,55,64.71,594,918,-0.29,2019
153,156,Bill Haas,77,64.65,803,"1,242",-0.27,2019
154,157,Chesson Hadley,76,64.64,861,"1,332",-0.27,2019
155,158,Brady Schnell,53,64.49,592,918,-0.26,2019
T156,T159,Kevin Na,65,64.44,696,"1,080",-0.27,2019
T156,T159,Alex Cejka,58,64.44,580,900,-0.22,2019
158,161,Brian Gay,93,64.36,"1,031","1,602",-0.27,2019
159,162,José de Jesús Rodríguez,67,64.27,752,"1,170",-0.29,2019
T160,T163,Brian Harman,91,64.17,"1,028","1,602",-0.28,2019
T160,T163,Phil Mickelson,63,64.17,693,"1,080",-0.3,2019
162,165,C.T. Pan,84,64.16,947,"1,476",-0.27,2019
163,166,Rod Pampling,56,64,599,936,-0.22,2019
164,167,Peter Malnati,87,63.99,956,"1,494",-0.3,2019
165,168,Patton Kizzire,76,63.96,852,"1,332",-0.31,2019
166,169,Matthew Fitzpatrick,54,63.94,587,918,-0.29,2019
167,170,Ernie Els,51,63.72,562,882,-0.24,2019
168,171,Cameron Smith,79,63.66,848,"1,332",-0.29,2019
169,172,Francesco Molinari,61,63.58,618,972,-0.25,2019
170,173,Satoshi Kodaira,67,63.54,732,"1,152",-0.25,2019
171,174,Julián Etulain,70,63.5,743,"1,170",-0.26,2019
172,175,Aaron Baddeley,55,63.33,627,990,-0.3,2019
173,176,Sergio Garcia,53,63.26,501,792,-0.3,2019
174,177,Freddie Jacobson,53,63.18,580,918,-0.27,2019
T175,T178,Rafa Cabrera Bello,71,62.99,771,"1,224",-0.31,2019
T175,T178,Chris Stroud,70,62.99,703,"1,116",-0.28,2019
177,180,Anirban Lahiri,73,62.96,782,"1,242",-0.28,2019
178,181,Ollie Schniederjans,77,62.89,849,"1,350",-0.31,2019
179,182,Jordan Spieth,82,62.8,893,"1,422",-0.34,2019
180,183,Zach Johnson,64,62.59,721,"1,152",-0.27,2019
181,185,Curtis Luck,65,62.43,663,"1,062",-0.28,2019
182,186,Kelly Kraft,87,62.41,910,"1,458",-0.29,2019
183,187,Seamus Power,80,62.19,806,"1,296",-0.26,2019
184,188,Scott Langley,78,62.01,826,"1,332",-0.29,2019
185,189,Kiradech Aphibarnrat,65,61.65,688,"1,116",-0.28,2019
186,190,Cody Gribble,74,61.62,732,"1,188",-0.31,2019
187,191,Martin Trainer,63,60.47,664,"1,098",-0.29,2019
188,192,Michael Kim,61,60.08,638,"1,062",-0.23,2019
1,1,Henrik Stenson,60,73.51,741,"1,008",-0.26,2018
2,2,Sam Ryder,82,72.08,"1,038","1,440",-0.26,2018
3,4,Billy Horschel,86,71.75,"1,059","1,476",-0.28,2018
4,3,Kevin Streelman,94,71.56,"1,185","1,656",-0.24,2018
5,5,C.T. Pan,104,71.2,"1,256","1,764",-0.26,2018
6,6,Kyle Stanley,93,71.09,"1,126","1,584",-0.26,2018
7,8,Patrick Cantlay,87,70.69,"1,018","1,440",-0.27,2018
8,9,Adam Scott,78,70.66,992,"1,404",-0.25,2018
9,13,Dustin Johnson,77,70.57,940,"1,332",-0.37,2018
10,11,J.J. Henry,81,70.52,952,"1,350",-0.21,2018
11,7,Gary Woodland,96,70.51,"1,155","1,638",-0.27,2018
T12,T14,Jordan Spieth,81,70.47,964,"1,368",-0.29,2018
T12,T14,Andrew Putnam,97,70.47,"1,129","1,602",-0.24,2018
14,16,Jason Kokrak,99,70.37,"1,254","1,782",-0.28,2018
15,17,Brett Stegmaier,67,70.31,772,"1,098",-0.26,2018
16,10,Francesco Molinari,73,70.24,885,"1,260",-0.26,2018
17,18,Corey Conners,97,70.19,"1,175","1,674",-0.24,2018
18,12,Tony Finau,105,70.18,"1,238","1,764",-0.32,2018
19,19,Rafa Cabrera Bello,75,70.16,884,"1,260",-0.27,2018
20,21,Jon Rahm,71,70.12,833,"1,188",-0.31,2018
21,20,Michael Thompson,62,70.11,732,"1,044",-0.26,2018
22,22,Blayne Barber,69,69.98,844,"1,206",-0.26,2018
23,27,Justin Rose,70,69.95,831,"1,188",-0.32,2018
24,24,Scott Piercy,84,69.72,"1,004","1,440",-0.24,2018
T25,26,Tyler Duncan,97,69.65,"1,166","1,674",-0.24,2018
T25,23,Bryson DeChambeau,93,69.65,"1,166","1,674",-0.3,2018
27,29,Russell Knox,94,69.57,"1,127","1,620",-0.24,2018
28,30,Cameron Percy,56,69.56,626,900,-0.29,2018
29,25,Rickie Fowler,74,69.52,926,"1,332",-0.3,2018
30,32,J.J. Spaun,85,69.48,988,"1,422",-0.28,2018
31,33,Keith Mitchell,99,69.42,"1,212","1,746",-0.28,2018
