RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,PCT SAND SAVES,NUM SAND SAVES,NUM BUNKERS,TOTAL O/U PAR,YEAR
1,1,Bud Cauley,65,66.99,69,103,21,2020
2,2,Jason Day,53,65.49,74,113,11,2020
3,3,Adam Hadwin,65,65.05,67,103,18,2020
4,T8,Bryson DeChambeau,62,62.89,61,97,8,2020
5,5,Justin Thomas,66,62.5,65,104,21,2020
6,6,Brendon Todd,86,61.6,77,125,26,2020
7,7,Shane Lowry,44,61.54,40,65,12,2020
8,T8,Maverick McNealy,80,61.36,81,132,34,2020
9,10,Justin Rose,38,61.29,38,62,13,2020
10,11,Brian Harman,78,60.98,75,123,29,2020
11,12,Patrick Reed,74,60.61,80,132,30,2020
12,13,Rory Sabbatini,66,59.83,70,117,27,2020
13,29,Daniel Berger,64,59.81,64,107,18,2020
14,14,Matt Wallace,44,59.3,51,86,35,2020
T15,15,Sungjae Im,94,58.82,90,153,33,2020
T15,53,Jon Rahm,58,58.82,50,85,14,2020
17,17,Alex Noren,60,58.59,58,99,23,2020
18,18,Matt Kuchar,56,58.43,52,89,21,2020
19,19,Matt Jones,76,58.33,84,144,27,2020
20,20,Fabián Gómez,59,58.23,46,79,19,2020
21,21,Brandon Hagy,50,58.21,39,67,13,2020
22,22,Pat Perez,59,57.83,48,83,29,2020
23,23,Scott Harrington,68,57.72,71,123,23,2020
24,24,Peter Uihlein,47,57.69,30,52,10,2020
25,16,Cameron Smith,64,57.52,65,113,40,2020
26,25,J.T. Poston,78,57.25,79,138,31,2020
27,26,Michael Thompson,62,57.14,60,105,25,2020
28,27,Cameron Davis,62,56.99,53,93,19,2020
29,28,Tommy Fleetwood,40,56.92,37,65,11,2020
30,30,Danny Willett,40,56.76,42,74,8,2020
31,31,Chez Reavie,77,56.67,68,120,32,2020
32,32,Phil Mickelson,51,56.6,60,106,27,2020
33,T68,Xander Schauffele,70,56.44,57,101,17,2020
34,T49,Webb Simpson,52,56.34,40,71,10,2020
T35,T34,Aaron Baddeley,49,56.25,45,80,20,2020
T35,T34,Rhein Gibson,54,56.25,45,80,24,2020
37,36,Russell Henley,67,55.7,44,79,22,2020
T38,33,Kevin Na,71,55.56,85,153,37,2020
T38,37,Brandt Snedeker,53,55.56,50,90,23,2020
40,38,Russell Knox,67,55.43,51,92,22,2020
41,39,Patrick Cantlay,46,55.41,41,74,7,2020
T42,T42,Adam Scott,38,55.07,38,69,17,2020
T42,T42,Sergio Garcia,44,55.07,38,69,14,2020
44,51,Hideki Matsuyama,74,55.04,71,129,26,2020
45,44,Doc Redman,82,55,66,120,38,2020
46,45,Mark Anderson,51,54.88,45,82,26,2020
47,55,Lanto Griffin,96,54.49,91,167,32,2020
48,48,Roger Sloan,55,54.44,49,90,41,2020
49,47,Mackenzie Hughes,70,54.4,68,125,35,2020
50,40,Dustin Johnson,49,54.17,39,72,26,2020
51,52,Ian Poulter,48,54,54,100,35,2020
52,41,Collin Morikawa,80,53.97,68,126,35,2020
53,54,Luke List,69,53.85,56,104,36,2020
T54,T57,Charley Hoffman,63,53.4,55,103,30,2020
T54,T57,Wyndham Clark,65,53.4,55,103,40,2020
T56,T59,Chris Stroud,48,53.33,40,75,20,2020
T56,T59,Bronson Burgoon,55,53.33,40,75,17,2020
58,61,Kyoung-Hoon Lee,76,53.28,73,137,38,2020
59,62,Branden Grace,43,53.13,34,64,16,2020
60,63,Danny Lee,69,53.08,69,130,35,2020
61,T66,Kevin Streelman,73,52.94,63,119,45,2020
62,T68,Rob Oppenheim,65,52.69,49,93,33,2020
63,70,Doug Ghim,44,52.63,30,57,24,2020
64,71,Jason Dufner,62,52.58,51,97,31,2020
65,72,Aaron Wise,49,52.38,33,63,10,2020
66,73,Andrew Putnam,46,51.9,41,79,38,2020
67,75,Beau Hossler,71,51.82,57,110,36,2020
68,76,Sepp Straka,70,51.79,58,112,34,2020
69,77,Anirban Lahiri,35,51.67,31,60,14,2020
T70,78,Seamus Power,36,51.35,19,37,15,2020
T70,65,Joaquin Niemann,76,51.35,57,111,32,2020
72,74,Harris English,76,51.3,59,115,25,2020
73,79,Keegan Bradley,68,51.28,60,117,45,2020
74,80,Talor Gooch,83,51.02,75,147,58,2020
75,T83,Richy Werenski,60,50.94,54,106,30,2020
76,81,Kevin Kisner,73,50.89,57,112,37,2020
T77,T85,Bill Haas,46,50.79,32,63,15,2020
T77,T85,Michael Gligic,52,50.79,32,63,26,2020
T77,T85,Zac Blair,70,50.79,64,126,57,2020
80,88,Chris Baker,53,50.77,33,65,21,2020
T81,T89,Byeong Hun An,75,50.71,71,140,44,2020
T81,T89,Joel Dahmen,79,50.71,71,140,48,2020
83,91,Dylan Frittelli,82,50.69,73,144,42,2020
84,92,Zach Johnson,61,50.56,45,89,39,2020
85,93,Charles Howell III,69,50.48,53,105,34,2020
T86,T94,Arjun Atwal,35,50,23,46,12,2020
T86,82,Ryan Palmer,68,50,58,116,39,2020
T86,114,Billy Horschel,79,50,69,138,51,2020
T86,T94,Cameron Tringale,63,50,43,86,28,2020
T86,T94,Brian Stuard,83,50,64,128,46,2020
T86,T94,Xinjun Zhang,77,50,69,138,52,2020
T86,100,Sebastián Muñoz,84,50,62,124,36,2020
T86,T94,Will Gordon,36,50,17,34,8,2020
94,99,Denny McCarthy,81,49.64,68,137,50,2020
95,101,Matthew NeSmith,72,49.48,48,97,21,2020
96,102,Brendan Steele,68,49.46,46,93,35,2020
97,103,Hank Lebioda,57,49.45,45,91,28,2020
T98,T104,Si Woo Kim,78,49.32,72,146,34,2020
T98,T104,Ryan Brehm,52,49.32,36,73,39,2020
T100,T106,Lucas Glover,67,49.18,60,122,34,2020
T100,115,Abraham Ancer,74,49.18,60,122,40,2020
T100,T106,Kramer Hickok,51,49.18,30,61,18,2020
103,108,Patrick Rodgers,95,49.15,58,118,34,2020
104,109,Ben Taylor,44,49.12,28,57,24,2020
105,110,Jordan Spieth,62,49.09,54,110,37,2020
106,111,Adam Schenk,78,49.07,53,108,36,2020
107,112,Cameron Percy,49,49.06,26,53,21,2020
108,113,Max Homa,70,49.04,51,104,37,2020
109,T121,Scottie Scheffler,82,48.99,73,149,53,2020
110,116,Carlos Ortiz,72,48.67,55,113,29,2020
111,117,Harry Higgs,83,48.65,72,148,48,2020
112,118,Tim Wilkinson,50,48.57,34,70,21,2020
113,119,Zack Sucher,38,48.33,29,60,19,2020
114,120,Brice Garnett,58,48.31,43,89,29,2020
115,T121,Scott Stallings,71,48.28,42,87,38,2020
116,123,Ben Martin,38,48.21,27,56,21,2020
117,T127,Cameron Champ,70,48.18,53,110,31,2020
118,124,Nelson Ledesma,42,48.15,39,81,32,2020
119,125,Joseph Bramlett,57,48.1,38,79,32,2020
120,126,Keith Mitchell,64,48.04,49,102,39,2020
121,T127,Kyle Stanley,57,48,36,75,21,2020
122,129,Troy Merritt,72,47.96,47,98,45,2020
T123,T130,Rickie Fowler,44,47.95,35,73,26,2020
T123,T130,Martin Trainer,48,47.95,35,73,34,2020
T123,T130,Ryan Moore,48,47.95,35,73,22,2020
126,147,Tony Finau,72,47.75,53,111,34,2020
127,133,Sebastian Cappelen,55,47.73,42,88,35,2020
T128,T134,Gary Woodland,62,47.62,50,105,39,2020
T128,T134,Kevin Chappell,41,47.62,30,63,20,2020
130,136,Paul Casey,56,47.5,38,80,27,2020
131,137,Mark Hubbard,86,47.26,69,146,64,2020
T132,T138,Stewart Cink,51,47.17,50,106,35,2020
T132,T138,Matthew Fitzpatrick,54,47.17,50,106,41,2020
134,140,Vaughn Taylor,61,47.01,63,134,60,2020
135,141,Nate Lashley,52,46.99,39,83,32,2020
136,142,Emiliano Grillo,69,46.74,43,92,31,2020
137,143,Robby Shelton,75,46.46,46,99,36,2020
138,144,Nick Taylor,59,46.34,38,82,34,2020
T139,T145,C.T. Pan,56,46.24,43,93,38,2020
T139,T145,Andrew Landry,63,46.24,43,93,38,2020
141,T148,J.J. Spaun,62,45.83,44,96,37,2020
142,150,David Hearn,55,45.59,31,68,30,2020
T143,T151,D.J. Trahan,49,45.45,35,77,29,2020
T143,T151,Jim Furyk,39,45.45,30,66,36,2020
T143,T151,Patton Kizzire,55,45.45,35,77,39,2020
T143,162,Viktor Hovland,74,45.45,60,132,53,2020
147,154,Bubba Watson,66,45.36,44,97,23,2020
148,155,Nick Watney,46,45.31,29,64,20,2020
149,156,Adam Long,88,45.21,66,146,64,2020
150,174,Rory McIlroy,60,45.16,42,93,33,2020
151,157,Chase Seiffert,56,45,36,80,33,2020
152,158,Peter Malnati,61,44.93,31,69,31,2020
153,159,Chesson Hadley,62,44.79,43,96,39,2020
T154,T160,Sung Kang,73,44.44,64,144,57,2020
T154,T160,Corey Conners,74,44.44,48,108,42,2020
156,163,Scott Brown,64,44.12,45,102,36,2020
T157,T164,Henrik Norlander,74,43.97,51,116,43,2020
T157,T164,Harold Varner III,74,43.97,51,116,41,2020
159,166,Brooks Koepka,40,43.84,32,73,28,2020
160,167,Jason Kokrak,62,43.75,42,96,43,2020
161,168,Grayson Murray,36,43.55,27,62,20,2020
T162,T169,Dominic Bozzelli,38,43.48,30,69,31,2020
T162,T169,Matthew Wolff,74,43.48,50,115,44,2020
164,172,Tom Hoge,74,43.33,52,120,50,2020
165,173,Louis Oosthuizen,48,43.21,35,81,39,2020
166,176,Tyrrell Hatton,42,43.18,19,44,18,2020
167,175,Tyler Duncan,83,42.98,52,121,51,2020
168,177,Sam Ryder,74,42.39,39,92,40,2020
T169,178,Austin Cook,64,42.11,32,76,33,2020
T169,171,Marc Leishman,61,42.11,48,114,50,2020
171,179,Jim Herman,60,41.96,47,112,60,2020
172,180,James Hahn,36,40.32,25,62,28,2020
173,181,Bo Hoag,71,40.19,43,107,44,2020
174,182,Matt Every,47,39.47,30,76,42,2020
175,183,"Ted Potter, Jr.",46,39.44,28,71,31,2020
176,184,Tyler McCumber,57,39.24,31,79,31,2020
T177,T185,Jhonattan Vegas,52,39.19,29,74,28,2020
T177,T185,Kevin Tway,52,39.19,29,74,30,2020
179,187,Ryan Armour,60,39.02,32,82,37,2020
180,188,Wes Roach,42,38.98,23,59,29,2020
181,189,Brian Gay,67,38.53,42,109,58,2020
182,190,Kristoffer Ventura,48,38.18,21,55,35,2020
183,191,Rafa Cabrera Bello,53,37.93,33,87,38,2020
184,192,Jimmy Walker,46,37.11,36,97,53,2020
185,193,Graeme McDowell,48,36.49,27,74,43,2020
186,194,Scott Piercy,66,36.19,38,105,63,2020
187,195,Robert Streb,54,35.37,29,82,39,2020
188,196,Josh Teater,43,35.29,18,51,23,2020
189,197,Michael Gellerman,46,33.33,18,54,25,2020
190,198,Martin Laird,39,32.2,19,59,26,2020
191,199,Sam Burns,60,32.14,27,84,43,2020
192,200,Vincent Whaley,40,29.41,15,51,28,2020
193,201,Bo Van Pelt,45,25.86,15,58,37,2020
1,1,Francesco Molinari,61,65.33,49,75,12,2019
2,3,Ernie Els,51,64.47,49,76,14,2019
3,2,Dustin Johnson,73,63.86,53,83,5,2019
4,4,Tommy Fleetwood,71,63.54,61,96,5,2019
5,T8,Webb Simpson,81,62.96,85,135,23,2019
6,T6,Talor Gooch,54,62.5,50,80,22,2019
7,T8,Sam Ryder,76,62.4,78,125,24,2019
8,5,Brandt Snedeker,102,62.29,109,175,39,2019
9,10,Ian Poulter,65,62.04,67,108,25,2019
10,11,Jimmy Walker,74,61.76,84,136,34,2019
11,T12,Justin Rose,66,61.68,66,107,23,2019
12,T12,Ben Silverman,70,61.17,63,103,20,2019
13,14,Andrew Putnam,81,61.02,72,118,33,2019
14,15,Matt Kuchar,87,60.82,59,97,21,2019
15,18,Russell Knox,79,59.57,56,94,24,2019
16,24,Lucas Glover,94,59.12,81,137,17,2019
17,26,Patrick Reed,93,58.82,90,153,21,2019
18,19,Cameron Smith,79,58.68,71,121,30,2019
19,20,Byeong Hun An,80,58.52,79,135,25,2019
20,21,Harold Varner III,84,58.47,69,118,34,2019
21,22,Brian Harman,91,58.45,83,142,29,2019
22,27,Brooks Koepka,81,58.43,52,89,13,2019
23,38,Marc Leishman,76,58.21,78,134,32,2019
24,T16,Louis Oosthuizen,71,58.12,68,117,30,2019
25,T16,Patrick Cantlay,77,58.04,65,112,18,2019
26,23,Sung Kang,86,57.75,82,142,43,2019
27,25,C.T. Pan,84,57.45,81,141,43,2019
28,28,Vaughn Taylor,93,56.69,89,157,46,2019
29,29,Seamus Power,80,56.64,64,113,18,2019
30,30,Graeme McDowell,75,56.62,77,136,47,2019
31,31,Si Woo Kim,87,56.6,90,159,34,2019
32,32,Roger Sloan,88,56.52,78,138,50,2019
33,33,Bud Cauley,82,56.43,79,140,36,2019
34,T34,Daniel Berger,70,56.2,68,121,33,2019
35,36,Adam Hadwin,86,55.94,80,143,44,2019
36,37,Wyndham Clark,87,55.91,71,127,30,2019
37,T34,Xander Schauffele,77,55.65,69,124,28,2019
T38,T39,Dominic Bozzelli,73,55.56,60,108,23,2019
T38,T39,Rory Sabbatini,97,55.56,80,144,39,2019
40,46,Adam Scott,63,55.45,56,101,27,2019
41,41,Peter Uihlein,84,55.38,72,130,29,2019
42,T54,Rory McIlroy,72,55.34,57,103,24,2019
43,42,Kevin Na,65,55.26,63,114,30,2019
44,43,Phil Mickelson,63,55.1,54,98,37,2019
45,45,Michael Thompson,71,54.93,78,142,36,2019
46,44,Rickie Fowler,76,54.79,80,146,31,2019
47,47,Cameron Tringale,73,54.65,47,86,21,2019
48,48,Hudson Swafford,59,54.64,53,97,23,2019
49,49,Anirban Lahiri,73,54.63,59,108,39,2019
50,50,Jordan Spieth,82,54.61,77,141,51,2019
51,51,Aaron Baddeley,55,54.55,54,99,31,2019
52,52,Stephan Jaeger,77,54.31,63,116,23,2019
53,53,Joaquin Niemann,98,54.12,92,170,30,2019
54,T54,Zach Johnson,64,54.08,53,98,19,2019
55,56,Tyrrell Hatton,62,53.76,50,93,26,2019
56,60,Hideki Matsuyama,91,53.74,79,147,43,2019
57,57,Danny Willett,63,53.64,59,110,24,2019
58,58,Ryan Armour,92,53.62,74,138,44,2019
59,59,Jim Furyk,73,53.41,47,88,29,2019
60,61,Danny Lee,83,53.19,75,141,37,2019
61,62,Martin Trainer,63,53.13,51,96,27,2019
T62,T63,Matt Jones,88,53.1,77,145,35,2019
T62,T63,J.B. Holmes,78,53.1,60,113,29,2019
64,65,Rafa Cabrera Bello,71,53.06,78,147,47,2019
65,66,Scott Langley,78,53.04,61,115,47,2019
66,67,Brian Stuard,98,52.9,73,138,53,2019
67,68,Shawn Stefani,80,52.88,55,104,25,2019
68,69,J.T. Poston,100,52.84,93,176,40,2019
69,T73,Jon Rahm,75,52.83,56,106,19,2019
70,71,Kiradech Aphibarnrat,65,52.73,58,110,51,2019
71,72,Chris Stroud,70,52.63,50,95,24,2019
72,85,Justin Thomas,75,52.58,51,97,18,2019
73,T73,Roberto Díaz,73,52.43,54,103,25,2019
74,75,Jason Day,69,52.38,55,105,30,2019
75,76,Beau Hossler,87,52.35,78,149,29,2019
76,77,Bill Haas,77,52.34,56,107,36,2019
77,70,Bryson DeChambeau,75,52.29,57,109,32,2019
78,79,Brady Schnell,53,52.24,35,67,26,2019
79,80,Anders Albertson,68,52.17,48,92,30,2019
80,81,Nate Lashley,70,52.13,49,94,30,2019
81,78,Corey Conners,90,51.82,71,137,38,2019
82,82,Kyoung-Hoon Lee,92,51.77,73,141,54,2019
83,83,Chesson Hadley,76,51.69,61,118,39,2019
84,84,José de Jesús Rodríguez,67,51.67,62,120,36,2019
85,86,Ollie Schniederjans,77,51.45,71,138,48,2019
86,87,Harris English,97,51.37,75,146,45,2019
87,88,Sangmoon Bae,60,51.25,41,80,21,2019
88,89,Jason Dufner,74,50.74,69,136,42,2019
T89,T90,David Hearn,55,50.68,37,73,23,2019
T89,T90,Keith Mitchell,86,50.68,74,146,43,2019
91,92,Patton Kizzire,76,50.42,60,119,45,2019
92,T98,Gary Woodland,87,50.41,61,121,25,2019
93,93,Scott Stallings,82,50.39,65,129,40,2019
T94,T94,Kevin Streelman,83,50.37,68,135,38,2019
T94,T94,Scott Piercy,90,50.37,68,135,33,2019
96,96,Nick Watney,87,50.35,71,141,41,2019
97,97,Joel Dahmen,100,50.32,79,157,62,2019
T98,T98,Carlos Ortiz,84,50,57,114,32,2019
T98,T98,Peter Malnati,87,50,67,134,47,2019
T98,T98,Branden Grace,76,50,55,110,47,2019
T98,T98,Scott Brown,86,50,72,144,40,2019
T98,T98,Andrew Landry,80,50,55,110,42,2019
T98,T98,Kevin Tway,84,50,63,126,37,2019
T98,T98,Bronson Burgoon,59,50,49,98,37,2019
T98,T98,Sergio Garcia,53,50,38,76,22,2019
T98,T98,Pat Perez,68,50,46,92,40,2019
T98,T98,Joey Garber,63,50,47,94,28,2019
T98,T98,Adam Schenk,102,50,68,136,43,2019
109,110,Tom Hoge,98,49.65,70,141,37,2019
110,T111,Ryan Blaum,90,49.62,66,133,39,2019
111,113,Kyle Stanley,81,49.61,63,127,47,2019
112,114,Adam Long,76,49.59,61,123,40,2019
113,115,Bubba Watson,65,49.47,47,95,25,2019
114,130,Tony Finau,89,49.38,80,162,38,2019
115,T116,Henrik Stenson,58,49.33,37,75,20,2019
116,118,Dylan Frittelli,83,49.15,58,118,25,2019
117,119,Martin Laird,88,49.11,55,112,30,2019
118,126,Sungjae Im,122,48.95,93,190,59,2019
119,T111,Chez Reavie,99,48.92,68,139,47,2019
120,120,Austin Cook,68,48.89,66,135,43,2019
121,121,Sebastián Muñoz,86,48.82,62,127,32,2019
122,122,Troy Merritt,69,48.78,40,82,31,2019
123,123,Denny McCarthy,89,48.76,59,121,41,2019
T124,T124,Brandon Harkins,91,48.65,72,148,54,2019
T124,T124,Kelly Kraft,87,48.65,72,148,58,2019
126,127,Brian Gay,93,48.25,69,143,59,2019
127,128,Aaron Wise,72,48.19,40,83,27,2019
128,129,Curtis Luck,65,48.04,49,102,36,2019
129,131,Emiliano Grillo,85,47.93,58,121,37,2019
T130,T132,Billy Horschel,99,47.86,67,140,43,2019
T130,T132,Sam Saunders,78,47.86,56,117,38,2019
132,135,Matthew Fitzpatrick,54,47.67,41,86,34,2019
133,137,Julián Etulain,70,47.54,58,122,38,2019
134,136,Charles Howell III,94,47.52,67,141,47,2019
135,150,Jason Kokrak,94,47.5,57,120,31,2019
136,138,Adam Svensson,73,47.37,45,95,29,2019
137,139,Alex Prugh,77,47.31,44,93,34,2019
138,141,J.J. Spaun,90,47.12,49,104,33,2019
139,142,Roberto Castro,76,46.94,46,98,27,2019
140,143,Cameron Davis,76,46.81,44,94,31,2019
141,144,Nick Taylor,97,46.79,73,156,43,2019
142,145,Robert Streb,80,46.67,56,120,46,2019
143,140,Abraham Ancer,93,46.62,62,133,44,2019
144,146,Hunter Mahan,59,46.6,48,103,38,2019
T145,T147,Jonas Blixt,82,46.55,54,116,35,2019
T145,T147,Michael Kim,61,46.55,54,116,56,2019
147,149,Luke List,66,46.46,59,127,36,2019
148,152,Rod Pampling,56,46.23,49,106,41,2019
149,153,Chase Wright,75,46.08,47,102,36,2019
150,154,Patrick Rodgers,55,46.07,41,89,30,2019
151,159,Kevin Kisner,97,45.83,66,144,58,2019
T152,T155,Ryan Moore,74,45.53,56,123,40,2019
T152,T155,Whee Kim,73,45.53,56,123,54,2019
154,157,Fabián Gómez,62,45.35,39,86,25,2019
155,158,Richy Werenski,89,45.24,57,126,41,2019
156,160,Keegan Bradley,89,44.92,53,118,39,2019
157,161,Tyler Duncan,89,44.55,45,101,41,2019
158,162,Alex Noren,63,44.54,53,119,46,2019
159,163,Trey Mullinax,77,44.44,48,108,31,2019
160,164,Brice Garnett,87,44.36,59,133,41,2019
161,165,Max Homa,82,44.2,61,138,60,2019
162,166,Jim Herman,52,44.16,34,77,31,2019
163,173,Paul Casey,79,43.7,52,119,39,2019
164,167,Kramer Hickok,79,43.64,48,110,41,2019
T165,T168,Hank Lebioda,76,43.43,43,99,32,2019
T165,T168,Jhonattan Vegas,75,43.43,43,99,41,2019
167,170,John Chin,58,43.37,36,83,32,2019
168,171,Russell Henley,78,43.27,45,104,39,2019
169,172,Ryan Palmer,74,42.73,47,110,39,2019
170,174,Freddie Jacobson,53,42.47,31,73,32,2019
171,175,Alex Cejka,58,41.98,34,81,37,2019
172,176,"Ted Potter, Jr.",73,41.79,56,134,62,2019
173,177,Jim Knous,57,41.46,34,82,29,2019
174,178,Cody Gribble,74,41.3,38,92,51,2019
175,179,Jonathan Byrd,55,41.18,28,68,32,2019
176,180,Sam Burns,80,41.09,53,129,58,2019
177,181,Sepp Straka,78,41.07,46,112,35,2019
178,182,Mackenzie Hughes,80,40.68,48,118,47,2019
179,183,Wes Roach,69,40.66,37,91,27,2019
180,184,Seth Reeves,73,40.38,42,104,45,2019
181,185,Johnson Wagner,64,40.24,33,82,28,2019
182,186,J.J. Henry,58,39.76,33,83,33,2019
183,187,Charley Hoffman,74,39.32,46,117,50,2019
184,188,Kyle Jones,72,39,39,100,39,2019
T185,T189,Brendan Steele,68,38.95,37,95,40,2019
T185,T189,Satoshi Kodaira,67,38.95,37,95,54,2019
187,191,Josh Teater,73,37.5,36,96,42,2019
188,192,Cameron Champ,78,37.04,40,108,44,2019
1,1,Ben Crane,65,66,66,100,20,2018
2,3,Louis Oosthuizen,62,64.29,72,112,25,2018
3,4,Webb Simpson,95,62.91,95,151,31,2018
4,2,Jason Day,75,62.5,85,136,32,2018
5,6,Whee Kim,93,61.82,102,165,37,2018
6,7,Zac Blair,64,61.63,53,86,24,2018
7,5,Kevin Na,91,61.49,91,148,30,2018
8,12,Justin Rose,70,61.16,74,121,22,2018
9,8,Seamus Power,86,60.94,78,128,29,2018
10,9,Matt Kuchar,88,60.81,90,148,40,2018
11,11,Rory Sabbatini,91,60.67,108,178,28,2018
12,10,Rickie Fowler,74,60.5,72,119,21,2018
13,13,Rob Oppenheim,74,60,66,110,29,2018
14,15,Alex Cejka,77,59.35,73,123,34,2018
15,14,Phil Mickelson,90,58.6,92,157,39,2018
16,16,Ben Martin,64,57.69,75,130,34,2018
17,17,D.A. Points,63,57.66,64,111,45,2018
18,18,Jonathan Byrd,70,57.65,49,85,21,2018
19,19,Bill Haas,76,57.26,71,124,27,2018
20,20,Aaron Baddeley,84,57.04,77,135,35,2018
21,21,Rafa Cabrera Bello,75,56.9,66,116,35,2018
22,22,Peter Malnati,87,56.69,89,157,57,2018
23,30,Patrick Reed,94,56.68,106,187,38,2018
24,23,Brandt Snedeker,84,56.67,85,150,48,2018
25,24,Cameron Smith,85,56.52,91,161,41,2018
26,25,Charles Howell III,104,55.76,92,165,45,2018
27,26,Scott Stallings,96,55.63,89,160,40,2018
28,27,Danny Lee,88,55.62,99,178,41,2018
T29,T28,Henrik Stenson,60,55.56,40,72,21,2018
T29,T28,Nick Taylor,94,55.56,75,135,38,2018
31,31,Emiliano Grillo,94,54.84,85,155,40,2018
32,32,Cameron Percy,56,54.79,40,73,24,2018
33,33,Tyrrell Hatton,58,54.65,47,86,33,2018
34,34,J.B. Holmes,77,54.55,84,154,30,2018
35,49,Paul Casey,74,54.46,55,101,34,2018
36,35,Bud Cauley,55,54.37,56,103,29,2018
37,36,Justin Thomas,91,54.29,76,140,27,2018
38,37,Peter Uihlein,83,54.24,64,118,36,2018
39,39,Beau Hossler,104,54.19,97,179,40,2018
40,40,Abraham Ancer,98,54.12,92,170,33,2018
41,41,Jonathan Randolph,71,54.03,67,124,44,2018
42,42,Chris Kirk,108,54.01,101,187,38,2018
43,38,Patrick Cantlay,87,53.91,62,115,23,2018
44,57,Brooks Koepka,64,53.76,50,93,23,2018
45,43,Austin Cook,107,53.45,93,174,54,2018
T46,T44,Brandon Harkins,101,53.42,86,161,53,2018
T46,T44,Chris Stroud,81,53.42,78,146,47,2018
T48,T46,Jimmy Walker,81,53.33,80,150,49,2018
T48,T46,Jamie Lovemark,92,53.33,96,180,43,2018
50,48,William McGirt,84,53.28,73,137,42,2018
51,50,Brian Gay,103,53.1,77,145,55,2018
52,51,Zach Johnson,94,52.98,80,151,38,2018
53,52,Cameron Tringale,67,52.81,47,89,32,2018
54,53,Johnson Wagner,75,52.75,48,91,16,2018
55,54,Blayne Barber,69,52.73,58,110,38,2018
56,55,Ryan Armour,109,52.54,93,177,59,2018
57,56,Daniel Summerhays,51,52.44,43,82,38,2018
58,T63,Rory McIlroy,64,52.43,54,103,26,2018
59,59,Luke List,98,52.22,94,180,35,2018
60,T60,Russell Knox,94,52.21,71,136,38,2018
61,58,Dustin Johnson,77,52.17,48,92,24,2018
62,62,Jonas Blixt,67,52.13,49,94,26,2018
63,T63,Hideki Matsuyama,75,52.04,51,98,40,2018
64,65,Harold Varner III,91,51.95,80,154,33,2018
T65,T66,Joel Dahmen,93,51.85,70,135,31,2018
T65,T66,Alex Noren,67,51.85,56,108,28,2018
67,68,Sam Saunders,80,51.75,74,143,46,2018
T68,T90,Billy Horschel,86,51.72,60,116,37,2018
T68,69,Patrick Rodgers,97,51.72,75,145,40,2018
T70,70,Si Woo Kim,108,51.67,108,209,65,2018
T70,T60,Tommy Fleetwood,73,51.67,62,120,46,2018
72,71,Ricky Barnes,65,51.65,47,91,30,2018
73,72,Lucas Glover,65,51.61,64,124,36,2018
T74,T73,Hudson Swafford,73,51.52,51,99,27,2018
T74,T73,Talor Gooch,78,51.52,68,132,37,2018
76,75,Ollie Schniederjans,91,51.48,87,169,64,2018
77,76,Anirban Lahiri,82,51.46,88,171,55,2018
78,77,Matt Jones,70,51.38,56,109,38,2018
79,78,Jordan Spieth,81,51.33,58,113,29,2018
80,79,Kyle Thompson,50,51.28,40,78,24,2018
81,80,"Ted Potter, Jr.",87,51.27,81,158,60,2018
82,81,Sean O'Hair,67,51.09,70,137,47,2018
83,82,Jason Dufner,71,50.94,54,106,31,2018
84,83,Shane Lowry,64,50.54,47,93,26,2018
85,84,Martin Laird,73,50.48,53,105,31,2018
86,85,Greg Chalmers,56,50.44,57,113,50,2018
87,86,Lanto Griffin,80,50.43,59,117,46,2018
88,87,Ian Poulter,73,50.42,60,119,49,2018
89,88,Adam Scott,78,50.38,67,133,50,2018
90,89,Sung Kang,89,50.34,75,149,64,2018
T91,T90,Chad Campbell,87,50,71,142,57,2018
T91,T90,Roberto Díaz,72,50,68,136,49,2018
T91,T90,J.T. Poston,73,50,56,112,40,2018
94,94,Tom Lovelady,87,49.65,71,143,48,2018
95,95,Wesley Bryan,69,49.58,59,119,48,2018
96,96,Kevin Tway,110,49.44,89,180,46,2018
97,97,Tom Hoge,101,49.36,77,156,51,2018
98,98,Stewart Cink,87,49.29,69,140,49,2018
99,99,Charl Schwartzel,65,49.26,67,136,42,2018
100,100,Xinjun Zhang,81,49.23,64,130,44,2018
101,102,Tyrone Van Aswegen,101,49.01,74,151,47,2018
102,103,Billy Hurley III,70,48.96,47,96,35,2018
103,104,Byeong Hun An,86,48.85,64,131,44,2018
T104,T105,Matt Every,79,48.84,63,129,53,2018
T104,T105,Michael Kim,74,48.84,63,129,45,2018
106,101,Marc Leishman,93,48.81,82,168,55,2018
107,107,Andrew Putnam,97,48.8,61,125,39,2018
108,108,Cody Gribble,71,48.72,57,117,47,2018
109,135,Bryson DeChambeau,93,48.67,73,150,47,2018
T110,T109,Keith Mitchell,99,48.61,70,144,42,2018
T110,T109,Michael Thompson,62,48.61,35,72,22,2018
112,111,Nate Lashley,51,48.57,34,70,21,2018
113,121,Jon Rahm,71,48.54,50,103,25,2018
114,112,James Hahn,85,48.48,64,132,41,2018
115,113,Troy Merritt,89,48.47,79,163,49,2018
116,114,David Lingmerth,82,48.41,61,126,51,2018
117,122,Xander Schauffele,96,48.4,91,188,49,2018
118,115,Brett Stegmaier,67,48.28,28,58,20,2018
