PLAYER.NAME	YEAR	PCT.FAIRWAYS.HIT	AVG.DRIVE.DISTANCE	PCT.GREENS.IN.REGULATION	GREENS.HIT.RELATIVE.TO.PAR	EVENTS	MONEY	PCT.ONE.PUTTS	PCT.SAND.SAVES	TOTAL.OU.PAR	ADJ_MONEY_2019
Chez Reavie	2016	68.22	287.3	68.09	-0.26	27	1086964	39.21	53.24	40	1157842.12658789
Chez Reavie	2017	71.4	285.2	67.31	-0.27	28	1819206	39.53	52.29	57	1897414.7231314
Chez Reavie	2018	72.24	286.5	68.67	-0.27	28	2700018	39.41	43.06	62	2748947.99822984
Chez Reavie	2019	75.72	287	67.93	-0.3	28	3660909	39.98	48.92	47	3660909
Chez Reavie	2020	69.73	284.4	67.24	-0.25	22	1123769	37.16	56.67	32	1103766.43348504
Chip Beck	1991	74.28	259.3	70.29	NA	26	578535	NA	55.86	-25	1086019.19024353
Chip Beck	1992	69.64	260	68.29	-0.27	26	689704	36.68	59.44	27	1256642.8999026
Chip Beck	1993	67.88	258.2	64.71	-0.24	27	603376	33.52	62.58	19	1067834.20436343
Chip Beck	1994	72.54	260.3	63.82	-0.26	27	281131	34.24	48.73	60	484892.732028448
Chip Beck	1995	68.23	260.2	64.93	-0.25	29	170081	36.2	54.91	59	285349.244782347
Chip Beck	1996	65.06	266.1	64.25	-0.26	29	228127	38.16	54.39	48	371835.253375305
Chip Beck	1997	50.35	259.5	54.38	-0.2	32	10653	39.59	56.86	61	16967.2004553006
Chip Beck	1998	52.38	263.9	55.47	-0.23	29	10866	37.46	50.86	45	17041.9108808343
Chip Beck	1999	56.82	258.8	60.44	-0.23	28	137423	40.84	54.36	59	210915.258415629
Chip Beck	2000	62.48	258.1	59.07	-0.25	21	56637	39.46	48.45	38	84086.3478963415
Chip Beck	2006	NA	NA	NA	NA	1	6180	NA	NA	NA	7837.44120540697
Chip Craig	1993	NA	NA	NA	NA	1	2431	NA	NA	NA	4302.30063974618
Chip Sullivan	1997	56.29	284.1	61.83	-0.24	27	41019	37.52	46.15	62	65331.6056956702
Chip Sullivan	1999	NA	NA	NA	NA	3	5225	NA	NA	NA	8019.27061133623
