RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,YEAR
T167,T174,Nate Lashley,52,287,"26,977",94,2020
T167,T174,Chris Stroud,48,287,"26,407",92,2020
T183,T190,Rory Sabbatini,66,283.9,"32,930",116,2020
T183,T190,Graeme McDowell,48,283.9,"24,416",86,2020
T28,T29,Kristoffer Ventura,48,305.7,"26,905",88,2020
T28,T29,Byeong Hun An,75,305.7,"38,518",126,2020
T30,33,Gary Woodland,62,305.4,"32,983",108,2020
T30,T31,Xander Schauffele,70,305.4,"37,868",124,2020
T43,T44,Nick Watney,46,302.3,"26,602",88,2020
T43,T44,Sebastián Muñoz,84,302.3,"50,793",168,2020
T45,T47,Martin Laird,39,302.1,"23,562",78,2020
T45,T47,Martin Trainer,48,302.1,"27,795",92,2020
T47,T49,Danny Lee,69,302,"36,840",122,2020
T47,T49,Adam Schenk,78,302,"39,860",132,2020
T49,T51,Harold Varner III,74,301.9,"39,856",132,2020
T49,T51,Keith Mitchell,64,301.9,"33,812",112,2020
T49,T51,Cameron Tringale,63,301.9,"38,044",126,2020
T53,T59,Joaquin Niemann,76,301.7,"41,034",136,2020
T53,55,Matt Wallace,44,301.7,"24,138",80,2020
T55,T56,Zack Sucher,38,301.6,"21,712",72,2020
T55,T56,Jordan Spieth,62,301.6,"30,162",100,2020
T55,73,Tyrrell Hatton,42,301.6,"20,510",68,2020
T55,T56,Lucas Glover,67,301.6,"33,181",110,2020
T59,T59,Phil Mickelson,51,301.5,"25,929",86,2020
T59,T59,Aaron Wise,49,301.5,"27,137",90,2020
T63,T65,Keegan Bradley,68,301,"36,125",120,2020
T63,T65,Harry Higgs,83,301,"49,974",166,2020
T65,T62,Harris English,76,300.9,"45,732",152,2020
T65,67,Vincent Whaley,40,300.9,"22,872",76,2020
T67,T69,Max Homa,70,300.6,"37,270",124,2020
T67,T69,Kevin Chappell,41,300.6,"24,649",82,2020
T77,80,Joseph Bramlett,57,299.3,"31,727",106,2020
T77,T82,Ryan Palmer,68,299.3,"35,910",120,2020
T77,T77,Billy Horschel,79,299.3,"40,107",134,2020
T77,81,Viktor Hovland,74,299.3,"39,512",132,2020
T82,84,Corey Conners,74,298.7,"37,043",124,2020
T82,T85,Mackenzie Hughes,70,298.7,"41,821",140,2020
T85,T87,Nelson Ledesma,42,298.2,"23,852",80,2020
T85,T87,Talor Gooch,83,298.2,"49,505",166,2020
T87,T89,Richy Werenski,60,298.1,"33,391",112,2020
T87,T89,Si Woo Kim,78,298.1,"39,348",132,2020
T92,T95,Scott Stallings,71,297.6,"39,873",134,2020
T92,T95,D.J. Trahan,49,297.6,"27,972",94,2020
T95,T97,J.J. Spaun,62,297.4,"34,498",116,2020
T95,T97,Doc Redman,82,297.4,"48,773",164,2020
T97,102,Collin Morikawa,80,297.3,"42,816",144,2020
T97,T99,Matt Jones,76,297.3,"42,817",144,2020
T97,T99,Branden Grace,43,297.3,"21,999",74,2020
1,1,Cameron Champ,78,317.9,"48,322",152,2019
2,2,Rory McIlroy,72,313.5,"40,123",128,2019
3,3,Luke List,66,313.3,"39,481",126,2019
4,5,Dustin Johnson,73,312,"41,178",132,2019
5,4,Wyndham Clark,87,311.8,"53,004",170,2019
6,6,Bubba Watson,65,311.6,"36,142",116,2019
7,7,Seth Reeves,73,311.4,"41,733",134,2019
8,8,Trey Mullinax,77,310.2,"45,285",146,2019
9,9,Tony Finau,89,309.5,"49,523",160,2019
12,T13,Jhonattan Vegas,75,308.3,"44,401",144,2019
13,12,Gary Woodland,87,308.2,"46,842",152,2019
14,15,Sam Burns,80,307.2,"47,917",156,2019
15,16,Byeong Hun An,80,307.1,"39,920",130,2019
16,17,J.B. Holmes,78,306.7,"38,648",126,2019
19,19,Phil Mickelson,63,306.3,"36,755",120,2019
20,21,Jon Rahm,75,305.6,"39,113",128,2019
21,22,Patrick Cantlay,77,304.7,"41,440",136,2019
22,23,Sepp Straka,78,304.4,"43,833",144,2019
23,24,Brandon Harkins,91,304.3,"50,515",166,2019
24,T28,Xander Schauffele,77,304.1,"37,706",124,2019
27,T28,Alex Prugh,77,303.7,"43,122",142,2019
30,31,Rickie Fowler,76,303.1,"46,071",152,2019
31,32,Hideki Matsuyama,91,303,"48,481",160,2019
32,33,Charles Howell III,94,302.8,"50,270",166,2019
33,34,Aaron Wise,72,302.6,"41,763",138,2019
37,40,Justin Thomas,75,302.2,"38,682",128,2019
40,41,Nick Watney,87,301.7,"45,248",150,2019
41,42,Joaquin Niemann,98,301.5,"55,474",184,2019
42,43,Danny Lee,83,301.4,"46,415",154,2019
43,44,Alex Noren,63,301.1,"31,314",104,2019
47,48,Adam Schenk,102,300.8,"60,155",200,2019
48,49,Sung Kang,86,300.5,"48,074",160,2019
49,50,Max Homa,82,300.2,"48,029",160,2019
50,51,John Chin,58,300,"32,399",108,2019
51,52,Sam Saunders,78,299.9,"44,388",148,2019
52,53,Patrick Rodgers,55,299.8,"30,579",102,2019
53,54,Beau Hossler,87,299.4,"44,913",150,2019
54,55,Adam Scott,63,299.3,"31,731",106,2019
55,56,Jimmy Walker,74,299.2,"39,488",132,2019
56,57,Chase Wright,75,299.1,"41,274",138,2019
57,58,Martin Laird,88,298.9,"47,816",160,2019
58,59,Sebastián Muñoz,86,298.8,"47,814",160,2019
59,62,Tommy Fleetwood,71,298.7,"35,841",120,2019
60,60,Ryan Palmer,74,298.6,"34,637",116,2019
61,61,Keegan Bradley,89,298.5,"44,182",148,2019
62,63,Paul Casey,79,298.4,"37,597",126,2019
63,64,Chesson Hadley,76,297.6,"39,287",132,2019
64,65,Peter Uihlein,84,297.5,"41,646",140,2019
65,66,Talor Gooch,54,297.4,"32,119",108,2019
66,71,Corey Conners,90,297.3,"51,132",172,2019
69,69,Scott Stallings,82,297,"43,958",148,2019
70,70,Cameron Tringale,73,296.9,"38,599",130,2019
71,T72,Patrick Reed,93,296.8,"49,855",168,2019
72,T72,Tyrrell Hatton,62,296.6,"29,655",100,2019
76,77,Dominic Bozzelli,73,296.4,"39,721",134,2019
77,T84,Louis Oosthuizen,71,296.3,"33,181",112,2019
78,78,Marc Leishman,76,296.2,"37,908",128,2019
84,83,Roger Sloan,88,295.8,"49,695",168,2019
87,T87,Charley Hoffman,74,295.6,"36,658",124,2019
90,91,Branden Grace,76,295.1,"33,050",112,2019
91,92,Patton Kizzire,76,294.9,"38,932",132,2019
92,94,Cameron Smith,79,294.2,"36,485",124,2019
95,97,Hank Lebioda,76,294,"41,154",140,2019
100,102,Stephan Jaeger,77,293.7,"41,712",142,2019
101,103,Richy Werenski,89,293.6,"48,739",166,2019
102,104,Bud Cauley,82,293.4,"48,110",164,2019
105,106,Anders Albertson,68,293.2,"37,530",128,2019
110,112,Peter Malnati,87,292.2,"48,510",166,2019
111,113,Nick Taylor,97,292.1,"54,327",186,2019
119,122,Adam Hadwin,86,291.2,"43,101",148,2019
122,125,Denny McCarthy,89,290.8,"47,107",162,2019
129,133,Jason Dufner,74,290.1,"37,133",128,2019
135,139,Matt Kuchar,87,289.5,"46,326",160,2019
141,145,Kyle Stanley,81,288.9,"36,980",128,2019
142,146,J.J. Henry,58,288.8,"30,035",104,2019
149,153,Jim Herman,52,288.3,"27,680",96,2019
150,154,Tyler Duncan,89,288.2,"47,842",166,2019
151,155,Matthew Fitzpatrick,54,287.9,"27,064",94,2019
152,156,Russell Henley,78,287.7,"40,274",140,2019
153,157,Zach Johnson,64,287.5,"36,799",128,2019
158,161,Chez Reavie,99,287,"45,927",160,2019
159,163,Andrew Landry,80,286.8,"42,445",148,2019
162,165,Aaron Baddeley,55,286.3,"31,496",110,2019
163,T166,Kyoung-Hoon Lee,92,286.2,"45,788",160,2019
164,168,Pat Perez,68,286.1,"28,607",100,2019
165,169,Graeme McDowell,75,285.9,"38,314",134,2019
166,170,Freddie Jacobson,53,285.3,"29,101",102,2019
167,171,C.T. Pan,84,285,"39,897",140,2019
168,172,Ernie Els,51,284.7,"23,348",82,2019
169,173,Whee Kim,73,284.3,"34,680",122,2019
170,174,Kyle Jones,72,284,"37,484",132,2019
171,175,Roberto Castro,76,283.8,"40,862",144,2019
172,176,Johnson Wagner,64,283.4,"32,871",116,2019
173,177,Brady Schnell,53,283.3,"28,898",102,2019
174,178,Vaughn Taylor,93,282.9,"51,488",182,2019
175,179,Henrik Stenson,58,282.7,"28,270",100,2019
176,180,Satoshi Kodaira,67,282.3,"31,617",112,2019
177,181,Ryan Moore,74,282.2,"37,251",132,2019
178,182,Jonathan Byrd,55,281.6,"27,600",98,2019
179,183,Andrew Putnam,81,281.5,"36,034",128,2019
180,184,"Ted Potter, Jr.",73,281.4,"35,451",126,2019
183,187,Alex Cejka,58,278,"27,796",100,2019
184,188,Ryan Armour,92,277.9,"46,694",168,2019
185,189,Brian Stuard,98,276.6,"47,575",172,2019
186,190,Jim Furyk,73,275,"37,397",136,2019
187,191,Brian Gay,93,274.9,"44,537",162,2019
188,192,Scott Langley,78,271.3,"40,147",148,2019
T10,10,Cameron Davis,76,309,"44,493",144,2019
T10,T13,Brooks Koepka,81,309,"40,794",132,2019
T103,105,Troy Merritt,69,293.3,"33,439",114,2019
T103,107,Abraham Ancer,93,293.3,"46,923",160,2019
T106,T108,Si Woo Kim,87,292.4,"43,278",148,2019
T106,T108,Kiradech Aphibarnrat,65,292.4,"31,582",108,2019
T106,T108,Joel Dahmen,100,292.4,"51,457",176,2019
T106,T108,Scott Piercy,90,292.4,"45,620",156,2019
T112,T114,Josh Teater,73,292,"39,126",134,2019
T112,T114,Adam Long,76,292,"44,386",152,2019
T114,T116,Julián Etulain,70,291.8,"37,936",130,2019
T114,T116,Kevin Streelman,83,291.8,"47,278",162,2019
T114,T116,Billy Horschel,99,291.8,"46,683",160,2019
T117,T120,Bill Haas,77,291.5,"40,224",138,2019
T117,T120,Ian Poulter,65,291.5,"29,153",100,2019
T120,T123,Austin Cook,68,291,"32,591",112,2019
T120,T123,Kramer Hickok,79,291,"44,810",154,2019
T123,T127,J.J. Spaun,90,290.4,"42,982",148,2019
T123,T127,Tom Hoge,98,290.4,"49,956",172,2019
T125,T129,Kelly Kraft,87,290.2,"44,695",154,2019
T125,T129,Anirban Lahiri,73,290.2,"37,723",130,2019
T125,T129,José de Jesús Rodríguez,67,290.2,"37,720",130,2019
T125,T129,Fabián Gómez,62,290.2,"35,990",124,2019
T130,T134,Chris Stroud,70,289.8,"35,938",124,2019
T130,T134,Adam Svensson,73,289.8,"38,839",134,2019
T132,T136,Nate Lashley,70,289.6,"39,385",136,2019
T132,T136,Rafa Cabrera Bello,71,289.6,"32,436",112,2019
T132,T136,Kevin Na,65,289.6,"27,800",96,2019
T136,T140,Rory Sabbatini,97,289.4,"53,831",186,2019
T136,T140,Jonas Blixt,82,289.4,"43,988",152,2019
T136,T140,Curtis Luck,65,289.4,"34,154",118,2019
T139,T143,Ryan Blaum,90,289.2,"47,425",164,2019
T139,T143,Russell Knox,79,289.2,"39,332",136,2019
T143,T147,Francesco Molinari,61,288.7,"28,870",100,2019
T143,T147,Robert Streb,80,288.7,"41,568",144,2019
T145,149,Scott Brown,86,288.6,"47,337",164,2019
T145,150,Webb Simpson,81,288.6,"45,020",156,2019
T147,T151,Brian Harman,91,288.4,"46,719",162,2019
T147,T151,Michael Thompson,71,288.4,"40,948",142,2019
T154,T158,Roberto Díaz,73,287.4,"37,363",130,2019
T154,T158,Brice Garnett,87,287.4,"44,260",154,2019
T156,162,Brandt Snedeker,102,287.2,"49,969",174,2019
T156,160,Ben Silverman,70,287.2,"39,058",136,2019
T160,T166,Kevin Kisner,97,286.4,"49,265",172,2019
T160,164,Rod Pampling,56,286.4,"27,496",96,2019
T17,20,Jason Kokrak,94,306.4,"50,250",164,2019
T17,18,Ollie Schniederjans,77,306.4,"43,513",142,2019
T181,T185,David Hearn,55,279.3,"26,258",94,2019
T181,T185,Michael Kim,61,279.3,"28,489",102,2019
T25,T25,Martin Trainer,63,303.8,"37,069",122,2019
T25,T25,Kevin Tway,84,303.8,"43,741",144,2019
T28,T25,Justin Rose,66,303.2,"35,171",116,2019
T28,30,Keith Mitchell,86,303.2,"45,475",150,2019
T34,39,Bryson DeChambeau,75,302.5,"43,555",144,2019
T34,T35,Sergio Garcia,53,302.5,"26,616",88,2019
T34,T35,Brendan Steele,68,302.5,"32,672",108,2019
T38,T37,Jason Day,69,302,"33,819",112,2019
T38,T37,Harold Varner III,84,302,"49,521",164,2019
T44,T45,Harris English,97,301,"54,774",182,2019
T44,T45,Carlos Ortiz,84,301,"49,366",164,2019
T44,T45,Daniel Berger,70,301,"39,735",132,2019
T67,T67,Cody Gribble,74,297.2,"39,236",132,2019
T67,T67,Mackenzie Hughes,80,297.2,"45,176",152,2019
T73,T74,Dylan Frittelli,83,296.5,"48,028",162,2019
T73,T74,Sangmoon Bae,60,296.5,"32,026",108,2019
T73,T74,Jim Knous,57,296.5,"31,427",106,2019
T79,T80,Lucas Glover,94,296.1,"53,306",180,2019
T79,79,Bronson Burgoon,59,296.1,"30,198",102,2019
T81,T80,Seamus Power,80,295.9,"42,608",144,2019
T81,T80,Shawn Stefani,80,295.9,"44,983",152,2019
T81,T87,Sungjae Im,122,295.9,"67,473",228,2019
T85,T84,Emiliano Grillo,85,295.7,"39,033",132,2019
T85,T84,Hunter Mahan,59,295.7,"34,894",118,2019
T88,T89,Jordan Spieth,82,295.2,"46,634",158,2019
T88,T89,Hudson Swafford,59,295.2,"33,653",114,2019
T93,T95,Wes Roach,69,294.1,"37,062",126,2019
T93,T95,Matt Jones,88,294.1,"49,414",168,2019
T96,T98,Sam Ryder,76,293.9,"39,969",136,2019
T96,T98,Joey Garber,63,293.9,"33,502",114,2019
T98,T100,J.T. Poston,100,293.8,"56,411",192,2019
T98,T100,Danny Willett,63,293.8,"34,669",118,2019
1,1,Rory McIlroy,64,319.7,"39,000",122,2018
2,2,Trey Mullinax,75,318.3,"43,929",138,2018
3,4,Tom Lovelady,87,315.9,"51,168",162,2018
4,3,Tony Finau,105,315.1,"56,721",180,2018
5,5,Luke List,98,314.6,"54,746",174,2018
6,6,Dustin Johnson,77,314,"43,953",140,2018
7,9,Gary Woodland,96,313.5,"52,042",166,2018
8,7,Brooks Koepka,64,313.4,"36,350",116,2018
9,8,Bubba Watson,90,313.1,"49,470",158,2018
10,10,Keith Mitchell,99,312.6,"60,646",194,2018
11,11,Justin Thomas,91,311.8,"46,153",148,2018
12,13,Brendan Steele,74,310.3,"39,103",126,2018
13,14,Kevin Tway,110,310.1,"59,535",192,2018
14,12,Jason Day,75,310,"37,195",120,2018
15,15,Jason Kokrak,99,309.5,"61,277",198,2018
16,16,Jon Rahm,71,308.9,"38,298",124,2018
17,17,Kevin Chappell,77,308.6,"45,670",148,2018
18,18,Harold Varner III,91,308.2,"49,935",162,2018
21,21,Nick Watney,94,307.5,"55,353",180,2018
22,22,Grayson Murray,72,307.3,"39,331",128,2018
23,23,Tommy Fleetwood,73,306.9,"38,059",124,2018
24,25,J.B. Holmes,77,306.1,"43,466",142,2018
25,24,Bryson DeChambeau,93,305.7,"56,854",186,2018
26,26,Adam Schenk,86,305.5,"48,881",160,2018
27,27,Ryan Palmer,69,305.2,"38,459",126,2018
28,28,Xander Schauffele,96,304.9,"49,388",162,2018
29,29,Adam Scott,78,304.6,"42,649",140,2018
30,30,Matt Jones,70,304.5,"37,757",124,2018
31,31,Paul Casey,74,304.3,"35,909",118,2018
36,35,Corey Conners,97,303.3,"56,421",186,2018
37,36,Jamie Lovemark,92,303.2,"48,514",160,2018
40,T37,Aaron Wise,90,302.9,"53,314",176,2018
44,44,Sean O'Hair,67,302.7,"38,139",126,2018
45,45,Seamus Power,86,302.6,"47,212",156,2018
46,46,Lanto Griffin,80,302.5,"44,773",148,2018
47,47,Harris English,84,302.4,"47,182",156,2018
48,48,Peter Uihlein,83,302.2,"42,313",140,2018
49,49,Hideki Matsuyama,75,302,"38,657",128,2018
54,54,Charles Howell III,104,300.9,"52,953",176,2018
57,T57,Phil Mickelson,90,300.3,"49,848",166,2018
64,T64,Scott Stallings,96,299.7,"51,556",172,2018
76,77,Tyrrell Hatton,58,298.8,"29,878",100,2018
80,T81,Marc Leishman,93,298.5,"48,952",164,2018
81,T81,Cameron Smith,85,298.4,"41,770",140,2018
82,83,J.J. Spaun,85,298.2,"47,108",158,2018
87,87,Sam Ryder,82,297.3,"47,568",160,2018
88,T88,Jason Dufner,71,297.1,"35,652",120,2018
89,90,Dominic Bozzelli,65,297,"38,614",130,2018
90,91,Hunter Mahan,67,296.9,"37,415",126,2018
91,92,Brice Garnett,99,296.7,"56,382",190,2018
92,93,Scott Piercy,84,296.6,"45,088",152,2018
93,94,Michael Thompson,62,296.4,"34,387",116,2018
96,97,Abraham Ancer,98,296.1,"56,850",192,2018
97,98,Joel Dahmen,93,295.8,"50,290",170,2018
98,T101,Kyle Stanley,93,295.7,"44,940",152,2018
99,100,Cameron Percy,56,295.6,"29,559",100,2018
105,106,Aaron Baddeley,84,295.3,"46,068",156,2018
106,107,Emiliano Grillo,94,295.2,"49,588",168,2018
109,110,Mackenzie Hughes,80,294.9,"44,824",152,2018
112,113,Tyler Duncan,97,294.4,"54,752",186,2018
113,114,Matt Every,79,294.2,"44,123",150,2018
114,115,Anirban Lahiri,82,294,"43,507",148,2018
115,116,Nate Lashley,51,293.9,"27,629",94,2018
116,T117,Andrew Putnam,97,293.8,"52,295",178,2018
117,T117,Webb Simpson,95,293.7,"54,042",184,2018
120,121,Nicholas Lindheim,77,293.5,"40,507",138,2018
121,122,Graeme McDowell,67,293.2,"32,252",110,2018
125,126,Russell Henley,77,293,"38,678",132,2018
132,133,Martin Piller,79,292.2,"45,000",154,2018
139,140,Henrik Stenson,60,291.5,"30,319",104,2018
140,141,Tom Hoge,101,291.4,"54,199",186,2018
141,142,Conrad Shindler,60,291.3,"32,621",112,2018
151,152,Tyrone Van Aswegen,101,290.3,"53,713",185,2018
152,153,Ben Silverman,90,290.2,"48,754",168,2018
153,T154,Michael Kim,74,289.9,"38,265",132,2018
163,164,Ryan Moore,78,289.2,"45,109",156,2018
164,165,Derek Fathauer,84,289.1,"46,256",160,2018
165,166,Ryan Blaum,81,289,"45,079",156,2018
166,167,Steve Wheatcroft,60,288.9,"33,515",116,2018
167,168,Kelly Kraft,94,288.6,"48,478",168,2018
168,169,Rod Pampling,62,288.4,"28,842",100,2018
169,170,Matt Kuchar,88,288,"43,781",152,2018
172,173,Alex Cejka,77,286.7,"39,567",138,2018
175,176,Roberto Díaz,72,286.3,"38,935",136,2018
178,179,"Ted Potter, Jr.",87,286,"49,759",174,2018
179,180,Whee Kim,93,285.8,"46,299",162,2018
180,181,David Lingmerth,82,285.4,"44,515",156,2018
181,182,Kyle Thompson,50,285.3,"26,249",92,2018
182,183,Rob Oppenheim,74,285.2,"38,787",136,2018
183,184,David Hearn,66,285.1,"34,210",120,2018
184,185,Billy Hurley III,70,284,"36,354",128,2018
185,186,Ryan Armour,109,283.5,"60,663",214,2018
186,187,Brian Gay,103,282.9,"57,155",202,2018
187,188,Greg Chalmers,56,282.8,"29,413",104,2018
188,189,Ben Crane,65,281.1,"30,921",110,2018
189,190,D.A. Points,63,280.8,"32,015",114,2018
190,191,Jim Furyk,50,280.5,"26,930",96,2018
